,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Block 2 (LOWER DILUTION),,,,,,,,,,,,,,,,,Block 10 (LOWER DILUTION),,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
1,α2-6 SiaLac,150,0.29,44,0.29,0.063,337,5349,232690,150,17662.5,0.303,13.174,513,,,1,α2-6 SiaLac,150,0.29,44,0.29,0.063,443,7032,305881,140,15386,0.457,19.880,593
,,,,,,,377,5984,260310,145,16504.625,0.363,15.772,531,,,,,,,,,,459,7286,316929,140,15386,0.474,20.599,444
,,,,,,,379,6016,261690,145,16504.625,0.364,15.856,557,,,,,,,,,,469,7444,323833,140,15386,0.484,21.047,454
,,,,,,,389,6175,268595,145,16504.625,0.374,16.274,456,,,,,,,,,,462,7333,319000,145,16504.625,0.444,19.328,477
,,,,,,,388,6159,267905,145,16504.625,0.373,16.232,563,,,,,,,,,,478,7587,330048,140,15386,0.493,21.451,443
,,,,,,,411,6524,283786,145,16504.625,0.395,17.194,613,,,,,,,,,,529,8397,365262,140,15386,0.546,23.740,461
,,,0.40,60,0.40,0.063,288,4571,448000,140,15386,0.297,29.117,570,,,,,,0.40,60,0.40,0.063,357,5667,555333,135,14306.625,0.396,38.817,725
,,,,,,,292,4635,454222,140,15386,0.301,29.522,461,,,,,,,,,,368,5841,572444,135,14306.625,0.408,40.013,576
,,,,,,,330,5238,513333,130,13266.5,0.395,38.694,524,,,,,,,,,,376,5968,584889,130,13266.5,0.450,44.088,634
,,,,,,,358,5683,556889,130,13266.5,0.428,41.977,423,,,,,,,,,,391,6206,608222,130,13266.5,0.468,45.846,681
,,,,,,,366,5810,569333,130,13266.5,0.438,42.915,478,,,,,,,,,,387,6143,602000,135,14306.625,0.429,42.078,662
,,,,,,,395,6270,614444,130,13266.5,0.473,46.315,446,,,,,,,,,,388,6159,603556,135,14306.625,0.430,42.187,512
,,200,0.39,78,0.39,0.275,1591,5785,251667,145,16504.625,0.351,15.248,911,,,,,200,0.39,78,0.39,0.275,2022,7353,319844,140,15386,0.478,20.788,1095
,,,,,,,1609,5851,254515,145,16504.625,0.355,15.421,871,,,,,,,,,,2063,7502,326329,140,15386,0.488,21.209,949
,,,,,,,1738,6320,274920,140,15386,0.411,17.868,667,,,,,,,,,,2040,7418,322691,135,14306.625,0.519,22.555,977
,,,,,,,1809,6578,286151,140,15386,0.428,18.598,687,,,,,,,,,,2209,8033,349424,135,14306.625,0.561,24.424,953
,,,,,,,1840,6691,291055,145,16504.625,0.405,17.635,647,,,,,,,,,,2207,8025,349107,135,14306.625,0.561,24.402,1011
,,,,,,,1945,7073,307664,145,16504.625,0.429,18.641,656,,,,,,,,,,2607,9480,412380,135,14306.625,0.663,28.824,901
,,,0.49,98,0.49,0.275,1540,5600,548800,140,15386,0.364,35.669,865,,,,,,0.49,98,0.49,0.275,2002,7280,713440,135,14306.625,0.509,49.868,886
,,,,,,,1580,5745,563055,140,15386,0.373,36.595,1111,,,,,,,,,,2025,7364,721636,135,14306.625,0.515,50.441,940
,,,,,,,1638,5956,583724,140,15386,0.387,37.939,621,,,,,,,,,,2001,7276,713084,140,15386,0.473,46.346,981
