egg H1N1 binding to TL-VI-25-5,,DP 150 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block 1 and 9 = H1N1 @ 2500 HAU,,label eff,,0.063,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block 16 Buffer control ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Block 1,,,,,,,,,,,,,,,,,Block 9,,,,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,
1,α2-6 SiaLac,150,0.29,44,0.29,0.063,415,6587,286548,140,15386,0.428,18.624,408,,,1,α2-6 SiaLac,150,0.29,44,0.29,0.063,516,8190,356286,135,14306.625,0.572,24.904,666,,,
,,,,,,,419,6651,289310,140,15386,0.432,18.803,359,,,,,,,,,,511,8111,352833,135,14306.625,0.567,24.662,524,,,
,,,,,,,414,6571,285857,145,16504.625,0.398,17.320,461,,,,,,,,,,514,8159,354905,135,14306.625,0.570,24.807,608,,,
,,,,,,,417,6619,287929,145,16504.625,0.401,17.445,433,,,,,,,,,,491,7794,339024,140,15386,0.507,22.035,514,,,
,,,,,,,418,6635,288619,145,16504.625,0.402,17.487,506,,,,,,,,,,534,8476,368714,135,14306.625,0.592,25.772,479,,,
,,,,,,,420,6667,290000,140,15386,0.433,18.848,566,,,,,,,,,,491,7794,339024,130,13266.5,0.587,25.555,556,,,
,,,0.40,60,0.40,0.063,312,4952,297143,135,14306.625,0.346,20.770,508,,,,,,0.40,60,0.40,0.063,404,6413,384762,130,13266.5,0.483,29.003,540,,,
,,,,,,,318,5048,302857,135,14306.625,0.353,21.169,348,,,,,,,,,,412,6540,392381,130,13266.5,0.493,29.577,583,,,
,,,,,,,325,5159,309524,135,14306.625,0.361,21.635,354,,,,,,,,,,400,6349,380952,135,14306.625,0.444,26.628,538,,,
,,,,,,,324,5143,308571,135,14306.625,0.359,21.568,378,,,,,,,,,,380,6032,361905,130,13266.5,0.455,27.280,547,,,
,,,,,,,300,4762,285714,135,14306.625,0.333,19.971,477,,,,,,,,,,390,6190,371429,130,13266.5,0.467,27.997,497,,,
,,,,,,,320,5079,304762,140,15386,0.330,19.808,425,,,,,,,,,,373,5921,355238,135,14306.625,0.414,24.830,564,,,
,,200,0.39,78,0.39,0.275,1697,6171,481331,140,15386,0.401,31.284,882,,,,,200,0.39,78,0.39,0.275,2128,7738,603578,140,15386,0.503,39.229,925,,,
,,,,,,,1775,6455,503455,140,15386,0.420,32.722,691,,,,,,,,,,2028,7375,575215,135,14306.625,0.515,40.206,716,,,
,,,,,,,1711,6222,485302,145,16504.625,0.377,29.404,566,,,,,,,,,,2159,7851,612371,135,14306.625,0.549,42.803,847,,,
,,,,,,,730,2655,207055,140,15386,0.173,13.457,770,,,,,,,,,,2200,8000,624000,135,14306.625,0.559,43.616,744,,,
,,,,,,,1828,6647,518487,140,15386,0.432,33.699,829,,,,,,,,,,2159,7851,612371,140,15386,0.510,39.801,781,,,
,,,,,,,1947,7080,552240,140,15386,0.460,35.892,760,,,,,,,,,,2153,7829,610669,135,14306.625,0.547,42.684,850,,,
,,,0.49,98,0.49,0.275,1601,5822,570538,140,15386,0.378,37.082,1028,,,,,,0.49,98,0.49,0.275,2152,7825,766895,135,14306.625,0.547,53.604,943,,,
,,,,,,,1633,5938,581942,140,15386,0.386,37.823,1129,,,,,,,,,,2146,7804,764756,135,14306.625,0.545,53.455,774,,,
,,,,,,,1747,6353,622567,140,15386,0.413,40.463,1059,,,,,,,,,,2183,7938,777942,135,14306.625,0.555,54.376,715,,,
,,,,,,,1854,6742,660698,140,15386,0.438,42.942,980,,,,,,,,,,2171,7895,773665,135,14306.625,0.552,54.077,742,,,
,,,,,,,1887,6862,672458,145,16504.625,0.416,40.744,940,,,,,,,,,,2195,7982,782218,135,14306.625,0.558,54.675,856,,,
,,,,,,,1954,7105,696335,140,15386,0.462,45.258,839,,,,,,,,,,2176,7913,775447,135,14306.625,0.553,54.202,766,,,
,,300,0.35,105,0.35,0.093,620,6674,700753,135,14306.625,0.466,48.981,1077,,,,,300,0.35,105,0.35,0.093,809,8708,914370,130,13266.5,0.656,68.923,793,,,
,,,,,,,600,6459,678149,135,14306.625,0.451,47.401,937,,,,,,,,,,843,9074,952799,130,13266.5,0.684,71.820,825,,,
,,,,,,,618,6652,698493,135,14306.625,0.465,48.823,1051,,,,,,,,,,808,8698,913240,130,13266.5,0.656,68.838,693,,,
,,,,,,,645,6943,729010,135,14306.625,0.485,50.956,1036,,,,,,,,,,798,8590,901938,130,13266.5,0.647,67.986,755,,,
,,,,,,,658,7083,743703,135,14306.625,0.495,51.983,953,,,,,,,,,,805,8665,909849,130,13266.5,0.653,68.582,669,,,
,,,,,,,657,7072,742573,135,14306.625,0.494,51.904,769,,,,,,,,,,782,8418,883854,135,14306.625,0.588,61.779,630,,,
,,,0.47,141,0.47,0.093,488,5253,740667,140,15386,0.341,48.139,872,,,,,,0.47,141,0.47,0.093,625,6728,948601,135,14306.625,0.470,66.305,679,,,
,,,,,,,484,5210,734596,140,15386,0.339,47.744,910,,,,,,,,,,629,6771,954672,140,15386,0.440,62.048,596,,,
,,,,,,,178,1916,270161,230,41526.5,0.046,6.506,642,,,,,,,,,,627,6749,951636,135,14306.625,0.472,66.517,643,,,
,,,,,,,495,5328,751292,140,15386,0.346,48.830,589,,,,,,,,,,661,7115,1003240,140,15386,0.462,65.205,306,,,
,,,,,,,499,5371,757363,140,15386,0.349,49.224,845,,,,,,,,,,622,6695,944047,140,15386,0.435,61.358,648,,,
,,,,,,,501,5393,760398,140,15386,0.351,49.421,771,,,,,,,,,,606,6523,919763,145,16504.625,0.395,55.728,459,,,
5,α2-6 SiaLac,150,0.29,44,0.29,0.063,2047,32492,1413405,145,16504.625,1.969,85.637,624,,,5,α2-6 SiaLac,150,0.29,44,0.29,0.063,2240,35556,1546667,145,16504.625,2.154,93.711,672,,,
,,,,,,,1995,31667,1377500,150,17662.5,1.793,77.990,705,,,,,,,,,,2271,36048,1568071,140,15386,2.343,101.915,809,,,
,,,,,,,2002,31778,1382333,145,16504.625,1.925,83.754,949,,,,,,,,,,2224,35302,1535619,140,15386,2.294,99.806,841,,,
,,,,,,,1951,30968,1347119,145,16504.625,1.876,81.621,787,,,,,,,,,,2202,34952,1520429,145,16504.625,2.118,92.121,756,,,
,,,,,,,1959,31095,1352643,145,16504.625,1.884,81.955,836,,,,,,,,,,2202,34952,1520429,140,15386,2.272,98.819,771,,,
,,,,,,,1878,29810,1296714,150,17662.5,1.688,73.416,730,,,,,,,,,,2191,34778,1512833,140,15386,2.260,98.325,874,,,
,,,0.40,60,0.40,0.063,1323,21000,1260000,135,14306.625,1.468,88.071,576,,,,,,0.40,60,0.40,0.063,1690,26825,1609524,125,12265.625,2.187,131.222,621,,,
,,,,,,,1484,23556,1413333,130,13266.5,1.776,106.534,594,,,,,,,,,,1831,29063,1743810,125,12265.625,2.370,142.170,680,,,
,,,,,,,1430,22698,1361905,135,14306.625,1.587,95.194,655,,,,,,,,,,1651,26206,1572381,130,13266.5,1.975,118.523,744,,,
,,,,,,,1492,23683,1420952,135,14306.625,1.655,99.321,817,,,,,,,,,,1733,27508,1650476,125,12265.625,2.243,134.561,614,,,
,,,,,,,1501,23825,1429524,130,13266.5,1.796,107.754,565,,,,,,,,,,1643,26079,1564762,130,13266.5,1.966,117.948,830,,,
,,,,,,,1350,21429,1285714,135,14306.625,1.498,89.868,570,,,,,,,,,,1655,26270,1576190,130,13266.5,1.980,118.810,814,,,
,,200,0.39,78,0.39,0.275,8276,30095,2347375,145,16504.625,1.823,142.225,771,,,,,200,0.39,78,0.39,0.275,9890,35964,2805164,135,14306.625,2.514,196.074,809,,,
,,,,,,,8958,32575,2540815,140,15386,2.117,165.138,916,,,,,,,,,,9899,35996,2807716,135,14306.625,2.516,196.253,837,,,
,,,,,,,8826,32095,2503375,140,15386,2.086,162.705,748,,,,,,,,,,9916,36058,2812538,135,14306.625,2.520,196.590,1180,,,
,,,,,,,8864,32233,2514153,140,15386,2.095,163.405,810,,,,,,,,,,9942,36153,2819913,140,15386,2.350,183.278,1013,,,
,,,,,,,8994,32705,2551025,140,15386,2.126,165.802,708,,,,,,,,,,10303,37465,2922305,135,14306.625,2.619,204.262,876,,,
,,,,,,,9091,33058,2578538,140,15386,2.149,167.590,729,,,,,,,,,,10151,36913,2879193,140,15386,2.399,187.131,1009,,,
,,,0.49,98,0.49,0.275,7920,28800,2822400,140,15386,1.872,183.439,810,,,,,,0.49,98,0.49,0.275,9714,35324,3461716,130,13266.5,2.663,260.937,606,,,
,,,,,,,8445,30709,3009491,135,14306.625,2.146,210.356,741,,,,,,,,,,9764,35505,3479535,135,14306.625,2.482,243.211,606,,,
,,,,,,,8596,31258,3063302,135,14306.625,2.185,214.118,835,,,,,,,,,,9673,35175,3447105,135,14306.625,2.459,240.945,589,,,
,,,,,,,8641,31422,3079338,135,14306.625,2.196,215.239,757,,,,,,,,,,9644,35069,3436771,140,15386,2.279,223.370,657,,,
,,,,,,,8850,32182,3153818,140,15386,2.092,204.980,734,,,,,,,,,,9862,35862,3514458,135,14306.625,2.507,245.652,680,,,
,,,,,,,8715,31691,3105709,140,15386,2.060,201.853,628,,,,,,,,,,9544,34705,3401135,135,14306.625,2.426,237.731,694,,,
,,300,0.35,105,0.35,0.093,2997,32260,3387352,135,14306.625,2.255,236.768,638,,,,,300,0.35,105,0.35,0.093,3843,41367,4343541,130,13266.5,3.118,327.407,312,,,
,,,,,,,3070,33046,3469860,135,14306.625,2.310,242.535,548,,,,,,,,,,3948,42497,4462217,135,14306.625,2.970,311.899,284,,,
,,,,,,,3042,32745,3438213,140,15386,2.128,223.464,510,,,,,,,,,,3972,42756,4489343,130,13266.5,3.223,338.397,394,,,
,,,,,,,3130,33692,3537675,135,14306.625,2.355,247.275,609,,,,,,,,,,3915,42142,4424919,135,14306.625,2.946,309.292,364,,,
,,,,,,,3187,34306,3602099,135,14306.625,2.398,251.778,526,,,,,,,,,,3803,40936,4298332,135,14306.625,2.861,300.443,444,,,
,,,,,,,3217,34629,3636006,135,14306.625,2.420,254.148,511,,,,,,,,,,3822,41141,4319806,135,14306.625,2.876,301.944,371,,,
,,,0.47,141,0.47,0.093,2903,31249,4406060,140,15386,2.031,286.368,344,,,,,,0.47,141,0.47,0.093,3344,35996,5075393,135,14306.625,2.516,354.758,211,,,
,,,,,,,2950,31755,4477395,135,14306.625,2.220,312.960,308,,,,,,,,,,3473,37384,5271184,130,13266.5,2.818,397.330,183,,,
