egg H1N1 binding to TL-VI-26-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block 5 new unpure + new HA,,,Block 13 new unpure + old HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Block 1 = new HA control ,,,Block 1 = old HA control ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Block 5,,,,,,,,,,,,,,,,,Block 13,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
1,α2-6 SiaLac,150,0.29,44,0.29,0.063,317,5032,218881,130,13266.5,0.379,16.499,-631,,,1,α2-6 SiaLac,150,0.29,44,0.29,0.063,297,4714,205071,135,14306.625,0.330,14.334,32
,,,,,,,338,5365,233381,130,13266.5,0.404,17.592,144,,,,,,,,,,334,5302,230619,135,14306.625,0.371,16.120,32
,,,,,,,303,4810,209214,135,14306.625,0.336,14.624,74,,,,,,,,,,291,4619,200929,135,14306.625,0.323,14.044,30
,,,,,,,289,4587,199548,135,14306.625,0.321,13.948,96,,,,,,,,,,306,4857,211286,135,14306.625,0.340,14.768,35
,,,,,,,309,4905,213357,130,13266.5,0.370,16.082,75,,,,,,,,,,283,4492,195405,135,14306.625,0.314,13.658,23
,,,,,,,338,5365,233381,125,12265.625,0.437,19.027,43,,,,,,,,,,325,5159,224405,130,13266.5,0.389,16.915,61
,,,0.40,60,0.40,0.063,215,3413,204762,125,12265.625,0.278,16.694,-414,,,,,,0.40,60,0.40,0.063,197,3127,187619,135,14306.625,0.219,13.114,26
,,,,,,,208,3302,198095,125,12265.625,0.269,16.150,208,,,,,,,,,,201,3190,191429,135,14306.625,0.223,13.380,27
,,,,,,,211,3349,200952,125,12265.625,0.273,16.383,83,,,,,,,,,,199,3159,189524,135,14306.625,0.221,13.247,39
,,,,,,,216,3429,205714,125,12265.625,0.280,16.772,105,,,,,,,,,,207,3286,197143,135,14306.625,0.230,13.780,52
,,,,,,,203,3222,193333,130,13266.5,0.243,14.573,103,,,,,,,,,,193,3063,183810,140,15386,0.199,11.947,65
,,,,,,,254,4032,241905,130,13266.5,0.304,18.234,121,,,,,,,,,,222,3524,211429,135,14306.625,0.246,14.778,51
,,200,0.39,78,0.39,0.275,1755,6382,497782,125,12265.625,0.520,40.583,156,,,,,200,0.39,78,0.39,0.275,1663,6047,471687,135,14306.625,0.423,32.970,59
,,,,,,,1848,6720,524160,125,12265.625,0.548,42.734,-359,,,,,,,,,,1675,6091,475091,135,14306.625,0.426,33.208,59
,,,,,,,1823,6629,517069,125,12265.625,0.540,42.156,293,,,,,,,,,,1632,5935,462895,135,14306.625,0.415,32.355,83
,,,,,,,1866,6785,529265,130,13266.5,0.511,39.895,279,,,,,,,,,,1702,6189,482749,135,14306.625,0.433,33.743,153
,,,,,,,1741,6331,493811,125,12265.625,0.516,40.260,253,,,,,,,,,,1615,5873,458073,135,14306.625,0.410,32.018,108
,,,,,,,1872,6807,530967,130,13266.5,0.513,40.023,250,,,,,,,,,,1685,6127,477927,135,14306.625,0.428,33.406,101
,,,0.49,98,0.49,0.275,1311,4767,467193,130,13266.5,0.359,35.216,177,,,,,,0.49,98,0.49,0.275,1233,4484,439396,140,15386,0.291,28.558,72
