egg H1N1 binding to TL-VI-26-3,,,,,,,,,,,,,,,,,egg H1N1 binding to TL-VI-26-3,,,,,,,,,,,,,,
Block 2 and 10,,,,,,,,,,,,,,,,,Block 2 and 10,,,,,,,,,,,,,,
Block 1 and 9 are Ab control ,,,,,,,,,,,,,,,,,Block 1 and 9 are Ab control ,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Block 2,,,,,,,,,,,,,,,,,Block 10,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
1,α2-6 SiaLac,150,0.29,44,0.29,0.063,64,1016,44190,130,13266.5,0.077,3.331,64,,,1,α2-6 SiaLac,150,0.29,44,0.29,0.063,257,4079,177452,135,14306.625,0.285,12.404,51
,,,,,,,35,556,24167,130,13266.5,0.042,1.822,35,,,,,,,,,,243,3857,167786,135,14306.625,0.270,11.728,56
,,,,,,,44,698,30381,130,13266.5,0.053,2.290,44,,,,,,,,,,231,3667,159500,135,14306.625,0.256,11.149,55
,,,,,,,11,175,7595,130,13266.5,0.013,0.573,11,,,,,,,,,,228,3619,157429,135,14306.625,0.253,11.004,42
,,,,,,,21,333,14500,135,14306.625,0.023,1.014,21,,,,,,,,,,241,3825,166405,135,14306.625,0.267,11.631,41
,,,,,,,38,603,26238,130,13266.5,0.045,1.978,38,,,,,,,,,,262,4159,180905,130,13266.5,0.313,13.636,26
,,,0.40,60,0.40,0.063,47,746,44762,130,13266.5,0.056,3.374,47,,,,,,0.40,60,0.40,0.063,217,3444,206667,135,14306.625,0.241,14.446,80
,,,,,,,43,683,40952,130,13266.5,0.051,3.087,43,,,,,,,,,,211,3349,200952,135,14306.625,0.234,14.046,68
,,,,,,,27,429,25714,130,13266.5,0.032,1.938,27,,,,,,,,,,212,3365,201905,135,14306.625,0.235,14.113,55
,,,,,,,38,603,36190,130,13266.5,0.045,2.728,38,,,,,,,,,,210,3333,200000,135,14306.625,0.233,13.980,73
,,,,,,,48,762,45714,130,13266.5,0.057,3.446,48,,,,,,,,,,208,3302,198095,140,15386,0.215,12.875,39
,,,,,,,46,730,43810,130,13266.5,0.055,3.302,46,,,,,,,,,,213,3381,202857,135,14306.625,0.236,14.179,26
,,200,0.39,78,0.39,0.275,152,553,43113,130,13266.5,0.042,3.250,152,,,,,200,0.39,78,0.39,0.275,1673,6084,474524,135,14306.625,0.425,33.168,155
,,,,,,,125,455,35455,135,14306.625,0.032,2.478,125,,,,,,,,,,1603,5829,454669,135,14306.625,0.407,31.780,163
,,,,,,,126,458,35738,135,14306.625,0.032,2.498,126,,,,,,,,,,1576,5731,447011,135,14306.625,0.401,31.245,162
,,,,,,,114,415,32335,135,14306.625,0.029,2.260,114,,,,,,,,,,1599,5815,453535,135,14306.625,0.406,31.701,142
,,,,,,,143,520,40560,135,14306.625,0.036,2.835,143,,,,,,,,,,1665,6055,472255,135,14306.625,0.423,33.010,129
,,,,,,,149,542,42262,130,13266.5,0.041,3.186,149,,,,,,,,,,1733,6302,491542,135,14306.625,0.440,34.358,101
,,,0.49,98,0.49,0.275,-170,-618,-60582,135,14306.625,-0.043,-4.235,-170,,,,,,0.49,98,0.49,0.275,1090,3964,388436,140,15386,0.258,25.246,167
,,,,,,,157,571,55949,135,14306.625,0.040,3.911,157,,,,,,,,,,1119,4069,398771,140,15386,0.264,25.918,159
,,,,,,,157,571,55949,135,14306.625,0.040,3.911,157,,,,,,,,,,1057,3844,376676,140,15386,0.250,24.482,127
,,,,,,,144,524,51316,135,14306.625,0.037,3.587,144,,,,,,,,,,1016,3695,362065,140,15386,0.240,23.532,139
,,,,,,,157,571,55949,140,15386,0.037,3.636,157,,,,,,,,,,1013,3684,360996,140,15386,0.239,23.463,121
