



,,,,,,,,,,,,Block 2,,,,,,,,,,,,,,,,,Block 6,,,,,,,,,,,,,,,,,Block 10,,,,,,,,,,,,,,,,,Block 14,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
1,α2-6 SiaLac,150,0.41,62,2.44,0.276,118,428,26293,140,15386,0.028,1.709,581,,,1,α2-6 SiaLac,150,0.41,62,2.44,0.276,107,388,23842,145,16504.625,0.023,1.445,1324,,,1,α2-6 SiaLac,150,0.41,62,2.44,0.276,100,362,22283,140,15386,0.024,1.448,1017,,,1,α2-6 SiaLac,150,0.41,62,2.44,0.276,96,348,21391,140,15386,0.023,1.390,1740
,,,,,,,114,413,25402,145,16504.625,0.025,1.539,345,,,,,,,,,,102,370,22728,140,15386,0.024,1.477,1360,,,,,,,,,,95,344,21168,140,15386,0.022,1.376,846,,,,,,,,,,98,355,21837,140,15386,0.023,1.419,1828
,,,,,,,109,395,24288,145,16504.625,0.024,1.472,741,,,,,,,,,,94,341,20946,145,16504.625,0.021,1.269,1531,,,,,,,,,,95,344,21168,140,15386,0.022,1.376,624,,,,,,,,,,94,341,20946,140,15386,0.022,1.361,1580
,,,,,,,108,391,24065,145,16504.625,0.024,1.458,830,,,,,,,,,,94,341,20946,140,15386,0.022,1.361,1350,,,,,,,,,,91,330,20277,140,15386,0.021,1.318,567,,,,,,,,,,98,355,21837,140,15386,0.023,1.419,1360
,,,,,,,107,388,23842,145,16504.625,0.023,1.445,951,,,,,,,,,,92,333,20500,145,16504.625,0.020,1.242,1252,,,,,,,,,,88,319,19609,135,14306.625,0.022,1.371,539,,,,,,,,,,97,351,21614,140,15386,0.023,1.405,1201
,,,,,,,91,330,20277,145,16504.625,0.020,1.229,1072,,,,,,,,,,87,315,19386,140,15386,0.020,1.260,1264,,,,,,,,,,83,301,18495,135,14306.625,0.021,1.293,601,,,,,,,,,,94,341,20946,135,14306.625,0.024,1.464,948
,,200,0.55,110,1.82,0.408,287,703,77377,145,16504.625,0.043,4.688,704,,,,,200,0.55,110,1.82,0.408,286,701,77108,145,16504.625,0.042,4.672,1691,,,,,200,0.55,110,1.82,0.408,242,593,65245,140,15386,0.039,4.241,633,,,,,200,0.55,110,1.82,0.408,282,691,76029,140,15386,0.045,4.941,1131
,,,,,,,289,708,77917,145,16504.625,0.043,4.721,544,,,,,,,,,,755,1850,203554,140,15386,0.120,13.230,1231,,,,,,,,,,244,598,65784,140,15386,0.039,4.276,162,,,,,,,,,,278,681,74951,140,15386,0.044,4.871,1371
,,,,,,,277,679,74681,150,17662.5,0.038,4.228,735,,,,,,,,,,268,657,72255,140,15386,0.043,4.696,1507,,,,,,,,,,243,596,65515,140,15386,0.039,4.258,173,,,,,,,,,,276,676,74412,135,14306.625,0.047,5.201,1283
,,,,,,,267,654,71985,145,16504.625,0.040,4.362,616,,,,,,,,,,271,664,73064,145,16504.625,0.040,4.427,1452,,,,,,,,,,236,578,63627,140,15386,0.038,4.135,113,,,,,,,,,,273,669,73603,140,15386,0.043,4.784,852
,,,,,,,261,640,70368,145,16504.625,0.039,4.264,767,,,,,,,,,,273,669,73603,145,16504.625,0.041,4.460,1615,,,,,,,,,,223,547,60123,140,15386,0.036,3.908,449,,,,,,,,,,274,672,73873,140,15386,0.044,4.801,1179
,,,,,,,242,593,65245,145,16504.625,0.036,3.953,843,,,,,,,,,,276,676,74412,140,15386,0.044,4.836,1513,,,,,,,,,,223,547,60123,135,14306.625,0.038,4.202,420,,,,,,,,,,274,672,73873,135,14306.625,0.047,5.164,1059
