Medium polymer binding to different valencies ,,,,Slide used ,,,,,,,,,
Polymer Length (DP) ,190.4457364,,,PMT,,,,,,,,,
Labeling efficiency ,0.4082,,,,,,,,,,,,
,,,,Block 2,,,Block 10,,,Block 11,,,
,,,,,,,,,,,,,
µM PRINTED POLYMER,GLYCAN,VALENCY, GLYCAN SPACING ON POLYMER,POLYMER DENSITY,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER DENSITY,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER DENSITY,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,
1,α2-6 SiaLac,105,1.81,0.032,3.341,1338,0.030,3.114,1019,0.016,1.726,1620,
,,,,0.027,2.854,1021,0.026,2.765,897,0.015,1.622,2202,
,,,,0.032,3.341,1264,0.031,3.277,1060,0.019,1.960,1452,
,,,,0.025,2.654,2905,0.029,3.092,1421,0.018,1.923,916,
,,,,0.012,1.295,2330,0.035,3.704,1283,0.020,2.090,910,
,,,,0.013,1.331,907,0.032,3.376,1045,0.019,1.949,931,
,,88,2.17,0.020,1.753,2988*,0.018,1.542,1170,0.019,1.685,1219,
,,,,0.020,1.736,1312,0.019,1.632,1391,0.021,1.821,588,
,,,,0.020,1.753,1235,0.018,1.558,1829,0.020,1.791,562,
,,,,0.020,1.736,1245,0.018,1.623,1141,0.020,1.791,7619*,
,,,,0.020,1.769,1326,0.016,1.384,435,0.020,1.791,1153,
,,,,0.020,1.769,993,0.018,1.590,457,0.018,1.604,69*,
,,79,2.42,0.019,1.463,-255*,0.019,1.493,1229,0.019,1.488,524,
,,,,0.019,1.463,2040*,0.018,1.388,1733,0.019,1.457,469,
,,,,0.018,1.451,1824,0.018,1.426,1369,0.020,1.539,491,
,,,,0.038,2.978,942,0.020,1.560,495,0.020,1.585,693,
,,,,0.020,1.587,678,0.019,1.463,329,0.020,1.597,-147*,
,,,,0.019,1.513,406,0.019,1.476,445,0.021,1.679,3506*,
,,71,2.69,0.018,1.276,804,0.018,1.253,1767,0.019,1.355,-248,
,,,,0.020,1.384,500,0.019,1.372,1152,0.020,1.389,306,
,,,,0.017,1.200,1872,0.019,1.372,1294,0.021,1.491,1165,
