Medium polymer binding to different valencies ,,,,Slide used ,,TL-VI-99-2,,,,,,,,,
Polymer Length (DP) ,190.4457364,,,PMT,,,,,,,,,,,
Labeling efficiency ,0.4082,,,,,,,,,,,,,,
,,,,Block 2,,,Block 3,,,Block 10,,,Block 11,,
,,,,,,,,,,,,,,,
µM PRINTED POLYMER,GLYCAN,VALENCY, GLYCAN SPACING ON POLYMER,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
1,α2-6 SiaLac,105,1.81,0.017,1.809,1390,0.012,1.299,941,0.013,1.354,153,0.014,1.434,440
,,,,0.022,2.259,1078,0.016,1.639,154,0.013,1.403,109,0.014,1.496,84
,,,,0.019,2.004,1410,0.014,1.435,314,0.014,1.421,429,0.014,1.481,456
,,,,0.018,1.883,1171,0.014,1.435,132,0.014,1.421,136,0.015,1.559,376
,,,,0.015,1.593,775,0.013,1.416,118,0.025,2.627,123,0.015,1.590,737
,,,,0.013,1.331,838,0.019,1.977,97,0.029,3.062,446,0.014,1.486,681
,,88,2.17,0.017,1.490,1304,0.018,1.590,194,0.018,1.558,-232,0.020,1.761,-191
,,,,0.019,1.655,1027,0.019,1.655,198,0.018,1.558,349,0.021,1.806,497
,,,,0.018,1.606,1456,0.019,1.671,140,0.018,1.623,288,0.021,1.821,1154
,,,,0.017,1.490,1652,0.019,1.704,158,0.019,1.671,280,0.020,1.763,791
,,,,0.017,1.505,1220,0.017,1.535,253,0.019,1.655,347,0.022,1.956,354
,,,,0.019,1.688,560,0.017,1.505,-197,0.019,1.655,238,0.022,1.971,705
,,79,2.42,0.018,1.439,1122,0.017,1.338,282,0.043,3.407,310,0.018,1.376,345
,,,,0.017,1.313,1007,0.017,1.363,287,0.042,3.260,253,0.018,1.434,1680*
,,,,0.017,1.325,1370,0.018,1.388,269,0.035,2.755,292,0.017,1.318,339
,,,,0.017,1.325,1453,0.020,1.573,167,0.037,2.876,415,0.018,1.422,420
,,,,0.017,1.300,188,0.017,1.313,153,0.045,3.554,500,0.020,1.539,287
,,,,0.017,1.313,138,0.017,1.338,288,0.029,2.259,450,0.020,1.574,377
,,71,2.69,0.020,1.433,587,0.018,1.310,116,0.017,1.231,326,0.017,1.189,597
,,,,0.020,1.384,479,0.018,1.287,265,0.017,1.219,212,0.017,1.221,226
,,,,0.019,1.348,581,0.019,1.332,17,0.017,1.208,252,0.017,1.232,511
,,,,0.017,1.219,630,0.021,1.457,265,0.016,1.163,228,0.016,1.161,-195
,,,,0.018,1.265,761,0.018,1.310,207,0.016,1.137,311,0.017,1.190,289
,,,,0.020,1.396,267*,0.021,1.469,605,0.018,1.242,206,0.017,1.170,121
,,61,3.11,0.022,1.344,759,0.020,1.240,307,0.059,3.635,286,0.021,1.269,79
,,,,0.022,1.375,757,0.019,1.156,411,0.041,2.485,234,0.021,1.269,202
,,,,0.023,1.407,862,0.020,1.249,438,0.090,5.508,221,0.020,1.249,315
,,,,0.023,1.386,792,0.020,1.210,345,0.048,2.937,119,0.022,1.337,277
,,,,0.022,1.375,831,0.022,1.365,207,0.072,4.388,196,0.022,1.356,129
,,,,0.026,1.585,363,0.022,1.337,155,0.022,1.367,131,0.022,1.374,100
,,53,3.62,0.019,1.007,521,0.021,1.114,197,0.060,3.168,115,0.019,1.007,0
,,,,0.021,1.114,596,0.020,1.038,-164,0.068,3.565,104,0.022,1.147,105
,,,,0.024,1.270,-92,0.020,1.072,-159,0.021,1.097,-7,0.021,1.122,5
,,,,0.024,1.252,568,0.019,1.015,352,0.025,1.332,95,0.022,1.172,497
,,,,0.021,1.122,707,0.021,1.122,-201,0.025,1.323,-1,0.023,1.223,-184
,,,,0.022,1.172,574,0.022,1.147,317,0.022,1.164,47,0.022,1.140,152
5,α2-6 SiaLac,105,1.81,0.053,5.585,1587,0.053,5.585,255,0.042,4.398,422,0.033,3.452,229
,,,,0.049,5.144,1595,0.051,5.351,501,0.042,4.414,506,0.036,3.741,207
,,,,0.053,5.551,1389,0.051,5.317,418,0.045,4.693,413,0.035,3.694,525
,,,,0.052,5.451,1232,0.049,5.097,605,0.043,4.481,456,0.035,3.679,457
,,,,0.048,5.004,1807,0.052,5.434,641,0.043,4.515,516,0.035,3.647,190
,,,,0.054,5.635,1796,0.047,4.941,493,0.047,4.949,567,0.032,3.321,197
,,88,2.17,0.076,6.636,2002,0.075,6.621,573,0.068,5.974,696,0.053,4.687,875
,,,,0.073,6.440,1357,0.073,6.425,456,0.076,6.669,730,0.054,4.729,246
,,,,0.074,6.470,1265,0.075,6.576,499,0.071,6.245,756,0.052,4.533,170
,,,,0.074,6.500,1437,0.076,6.681,457,0.072,6.335,905,0.055,4.827,278
,,,,0.075,6.561,1542,0.070,6.142,543,0.072,6.305,968,0.048,4.226,282
,,,,0.076,6.681,1682,0.078,6.816,488,0.074,6.500,1045,0.053,4.687,302
,,79,2.42,0.073,5.735,1018,0.072,5.677,186,0.077,6.065,563,0.063,4.956,187
,,,,0.067,5.294,568,0.072,5.689,183,0.072,5.689,660,0.061,4.760,136
,,,,0.072,5.689,160,0.073,5.770,-53,0.073,5.747,824,0.057,4.509,189
,,,,0.073,5.724,454,0.073,5.712,216,0.073,5.759,832,0.061,4.760,473
,,,,0.074,5.805,856,0.069,5.425,595,0.073,5.770,811,0.059,4.662,495
,,,,0.074,5.829,1118,0.075,5.875,425,0.075,5.899,837,0.055,4.325,230
,,71,2.69,0.065,4.584,376,0.064,4.505,244,0.073,5.179,357,0.066,4.712,27
,,,,0.061,4.357,161,0.064,4.505,149,0.074,5.232,631,0.062,4.431,48
,,,,0.063,4.485,203,0.058,4.145,223,0.074,5.242,603,0.067,4.741,291
,,,,0.064,4.544,141,0.063,4.475,277,0.075,5.305,637,0.065,4.633,188
,,,,0.060,4.228,191,0.062,4.426,631,0.074,5.274,681,0.068,4.790,168
,,,,0.064,4.534,139,0.059,4.219,153,0.076,5.410,661,0.064,4.514,228
,,61,3.11,0.084,5.178,187,0.072,4.396,-27,0.084,5.132,-91,0.074,4.532,-98
,,,,0.075,4.575,235,0.075,4.626,98,0.085,5.205,217,0.077,4.694,-12
,,,,0.075,4.617,241,0.071,4.348,506,0.086,5.278,413,0.074,4.558,109
,,,,0.077,4.694,95,0.063,3.846,138,0.086,5.251,264,0.068,4.189,52
,,,,0.076,4.668,30,0.075,4.575,164,0.086,5.287,308,0.078,4.753,150
,,,,0.071,4.372,-80,0.087,5.323,14,0.087,5.360,342,0.079,4.864,-14
,,53,3.62,0.095,5.004,145,0.087,4.560,-131,0.086,4.523,-5,0.081,4.270,-116
,,,,0.087,4.552,21,0.087,4.567,-91,0.088,4.625,-38,0.074,3.866,-139
,,,,0.088,4.611,11,0.087,4.581,447,0.082,4.291,-8,0.079,4.147,-132
,,,,0.087,4.596,-18,0.081,4.250,-368,0.088,4.654,-8,0.074,3.892,-107
,,,,0.087,4.552,-36,0.086,4.538,-122,0.087,4.567,-10,0.081,4.250,-72
,,,,0.088,4.618,20,0.088,4.625,286,0.082,4.325,-7,0.081,4.277,-136
10,α2-6 SiaLac,105,1.81,0.070,7.391,1406,0.063,6.653,299,0.078,8.145,595,0.041,4.318,151
,,,,0.077,8.106,1594,0.058,6.120,296,0.069,7.265,531,0.046,4.782,235
,,,,0.068,7.121,1370,0.061,6.438,200,0.070,7.301,497,0.046,4.832,245
,,,,0.067,7.085,1222,0.059,6.186,192,0.045,4.676,453,0.046,4.816,229
