Medium polymer binding to different valencies ,,,,Slide used ,,TL-VI-99-3,,,,,,,,,,,,,,,
Polymer Length (DP) ,190.4457364,,,PMT,,,,,,,,,,,,,,,,,
Labeling efficiency ,0.4082,,,,,,,,,,,,,,,,,,,,
,,,,Block 1,,,Block 3,,,Block 10,,,Block 11,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
µM PRINTED POLYMER,GLYCAN,VALENCY, GLYCAN SPACING ON POLYMER,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,,,,
1,α2-6 SiaLac,105,1.81,0.012,1.295,122,0.013,1.331,187,0.015,1.600,262,0.012,1.287,287,,,,,,
,,,,0.012,1.241,923,0.016,1.636,662,0.016,1.708,-284,0.008,0.886,-513,,,,,,
,,,,0.012,1.295,448,0.013,1.385,638,0.017,1.744,963,0.009,0.947,576,,,,,,
,,,,0.013,1.385,599,0.013,1.321,592,0.017,1.780,1196*,0.006,0.658,554,,,,,,
,,,,0.012,1.254,655,0.012,1.254,530,0.016,1.722,494,0.007,0.701,144,,,,,,
,,,,0.013,1.385,668,0.012,1.237,642,0.017,1.756,-45,0.005,0.555,-282,,,,,,
,,88,2.17,0.018,1.606,1078,0.017,1.520,547,0.019,1.685,294,0.014,1.264,200,,,,,,
,,,,0.018,1.550,683,0.017,1.535,360,0.018,1.581,358,0.010,0.895,235,,,,,,
,,,,0.019,1.655,885,0.016,1.413,330,0.020,1.715,407,0.012,1.035,223,,,,,,
,,,,0.020,1.736,359,0.018,1.595,267,0.020,1.776,517,0.016,1.371,258,,,,,,
,,,,0.021,1.850,404,0.017,1.535,258,0.021,1.851,613,0.019,1.693,151,,,,,,
,,,,0.020,1.715,473,0.018,1.625,262,0.021,1.861,386,0.019,1.651,203,,,,,,
,,79,2.42,0.020,1.587,895,0.019,1.463,494,0.016,1.259,302,0.017,1.338,289,,,,,,
,,,,0.020,1.573,2725*,0.023,1.813,3228*,0.018,1.388,164,0.017,1.313,78,,,,,,
,,,,0.021,1.614,1276,0.019,1.463,942,0.016,1.294,399,0.018,1.401,267,,,,,,
,,,,0.020,1.600,462,0.019,1.501,289,0.017,1.352,348,0.017,1.306,138,,,,,,
,,,,0.021,1.613,529,0.021,1.654,209,0.018,1.434,320,0.018,1.451,250,,,,,,
,,,,0.021,1.651,1012,0.024,1.856,173,0.019,1.480,548,0.018,1.376,499,,,,,,
,,71,2.69,0.020,1.409,1229*,0.023,1.624,1358*,0.016,1.158,216,0.019,1.332,210,,,,,,
,,,,0.021,1.518,306,0.021,1.518,1171,0.017,1.189,210,0.020,1.411,159,,,,,,
,,,,0.023,1.637,551,0.019,1.366,553,0.019,1.321,360,0.021,1.468,116,,,,,,
,,,,0.022,1.530,371,0.021,1.469,249,0.018,1.242,193,0.020,1.423,191,,,,,,
,,,,0.022,1.591,-190,0.019,1.355,-353,0.018,1.305,212,0.021,1.490,655,,,,,,
,,,,0.022,1.547,515,0.020,1.400,485,0.019,1.379,160,0.021,1.495,159,,,,,,
,,61,3.11,0.021,1.302,565,0.026,1.596,438,0.018,1.083,187,0.020,1.210,172,,,,,,
,,,,0.025,1.540,77,0.026,1.596,408,0.018,1.110,234,0.025,1.562,62,,,,,,
,,,,0.025,1.551,248,0.025,1.562,231,0.017,1.037,186,0.021,1.308,130,,,,,,
,,,,0.023,1.407,937,0.023,1.396,179,0.017,1.065,213,0.020,1.228,128,,,,,,
,,,,0.023,1.438,428,0.023,1.417,220,0.017,1.056,78,0.019,1.192,127,,,,,,
,,,,0.023,1.396,383,0.026,1.596,294,0.020,1.256,113,0.021,1.274,102,,,,,,
,,53,3.62,0.019,1.023,199,0.023,1.216,179,0.017,0.913,-44,0.022,1.156,64,,,,,,
,,,,0.024,1.261,35,0.023,1.207,225,0.017,0.898,119,0.021,1.109,199,,,,,,
,,,,0.024,1.243,10,0.024,1.243,94,0.018,0.921,168,0.022,1.172,78,,,,,,
,,,,0.024,1.261,92,0.022,1.147,83,0.017,0.898,79,0.023,1.210,81,,,,,,
,,,,0.022,1.147,-159,0.021,1.122,339,0.018,0.941,15,0.022,1.171,52,,,,,,
,,,,0.023,1.194,101,0.022,1.156,89,0.019,0.999,9,0.022,1.160,87,,,,,,
5,α2-6 SiaLac,105,1.81,0.059,6.170,697,0.059,6.153,766,0.034,3.616,555,0.036,3.762,542,,,,,,
,,,,0.065,6.833,796,0.059,6.153,990,0.035,3.632,456,0.034,3.601,526,,,,,,
,,,,0.061,6.354,952,0.061,6.437,746,0.033,3.452,533,0.031,3.306,527,,,,,,
,,,,0.060,6.287,781,0.059,6.187,869,0.032,3.394,507,0.032,3.394,457,,,,,,
,,,,0.059,6.203,891,0.054,5.689,524,0.032,3.350,566,0.033,3.423,473,,,,,,
,,,,0.057,6.019,475,0.057,6.017,567,0.033,3.452,698,0.032,3.379,493,,,,,,
,,88,2.17,0.088,7.704,811,0.083,7.313,484,0.047,4.174,441,0.057,4.967,379,,,,,,
,,,,0.086,7.569,884,0.083,7.298,447,0.048,4.200,240,0.054,4.729,317,,,,,,
,,,,0.087,7.629,919,0.077,6.786,740,0.049,4.304,422,0.050,4.357,552,,,,,,
,,,,0.088,7.734,850,0.076,6.688,535,0.048,4.252,477,0.052,4.526,317,,,,,,
,,,,0.081,7.094,825,0.084,7.358,475,0.049,4.291,477,0.052,4.526,291,,,,,,
,,,,0.079,6.982,550,0.078,6.884,596,0.050,4.422,503,0.057,4.981,400,,,,,,
,,79,2.42,0.088,6.878,639,0.076,5.945,351,0.057,4.477,367,0.064,5.033,247,,,,,,
,,,,0.087,6.840,727,0.077,6.027,356,0.059,4.608,286,0.068,5.327,181,,,,,,
,,,,0.080,6.318,744,0.076,5.945,409,0.063,4.978,397,0.060,4.728,138,,,,,,
,,,,0.083,6.481,724,0.077,6.073,406,0.058,4.586,380,0.060,4.684,466,,,,,,
,,,,0.082,6.470,-632,0.072,5.664,-638,0.062,4.902,357,0.063,4.945,25,,,,,,
,,,,0.084,6.586,317,0.078,6.155,359,0.074,5.782,496,0.062,4.836,325,,,,,,
,,71,2.69,0.077,5.474,738,0.074,5.274,457,0.060,4.230,198,0.062,4.377,166,,,,,,
,,,,0.083,5.872,380,0.074,5.274,550,0.061,4.328,233,0.062,4.426,118,,,,,,
,,,,0.078,5.547,611,0.074,5.221,224,0.060,4.259,260,0.057,4.062,73,,,,,,
,,,,0.079,5.621,204,0.069,4.889,334,0.056,3.979,296,0.063,4.436,132,,,,,,
,,,,0.081,5.716,338,0.069,4.918,274,0.062,4.426,316,0.059,4.173,72,,,,,,
,,,,0.083,5.895,584,0.076,5.421,317,0.062,4.385,307,0.063,4.485,28,,,,,,
,,61,3.11,0.080,4.915,311,0.078,4.779,552,0.083,5.060,77,0.081,4.978,-20,,,,,,
,,,,0.085,5.205,349,0.069,4.221,461,0.073,4.456,31,0.075,4.626,-25,,,,,,
,,,,0.086,5.260,405,0.075,4.592,183,0.070,4.276,160,0.077,4.719,-6,,,,,,
,,,,0.081,4.991,244,0.070,4.316,244,0.076,4.668,155,0.077,4.694,33,,,,,,
,,,,0.082,5.034,461,0.070,4.292,248,0.081,4.940,70,0.076,4.685,-92,,,,,,
,,,,0.083,5.102,727,0.084,5.160,194,0.083,5.085,65,0.078,4.762,-39,,,,,,
,,53,3.62,0.089,4.662,71,0.079,4.174,52,0.096,5.067,-28,0.096,5.028,-34,,,,,,
