CF H1N1 binding to TL-VI-25-3,,,,,,,,,,,,,,,,,CF H1N1 binding to TL-VI-25-3,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Block 1,,,,,,,,,,,,,,,,,Block 9,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE ,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
1,α2-6 SiaLac,150,0.29,44,0.29,0.063,418,6635,288619,140,15386,0.431,18.759,129,,,1,α2-6 SiaLac,150,0.29,44,0.29,0.063,446,7079,307952,145,16504.625,0.429,18.659,324
,,,,,,,409,6492,282405,140,15386,0.422,18.355,143,,,,,,,,,,437,6937,301738,145,16504.625,0.420,18.282,263
,,,,,,,414,6571,285857,140,15386,0.427,18.579,146,,,,,,,,,,437,6937,301738,145,16504.625,0.420,18.282,273
,,,,,,,421,6683,290690,140,15386,0.434,18.893,144,,,,,,,,,,429,6810,296214,145,16504.625,0.413,17.947,288
,,,,,,,424,6730,292762,140,15386,0.437,19.028,125,,,,,,,,,,421,6683,290690,145,16504.625,0.405,17.613,283
,,,,,,,404,6413,278952,145,16504.625,0.389,16.901,141,,,,,,,,,,397,6302,274119,145,16504.625,0.382,16.609,216
,,,0.40,60,0.40,0.063,294,4667,280000,130,13266.5,0.352,21.106,57,,,,,,0.40,60,0.40,0.063,385,6111,366667,135,14306.625,0.427,25.629,161
,,,,,,,319,5063,303810,130,13266.5,0.382,22.901,68,,,,,,,,,,378,6000,360000,135,14306.625,0.419,25.163,140
,,,,,,,322,5111,306667,130,13266.5,0.385,23.116,58,,,,,,,,,,365,5794,347619,135,14306.625,0.405,24.298,158
,,,,,,,314,4984,299048,130,13266.5,0.376,22.542,62,,,,,,,,,,361,5730,343810,135,14306.625,0.401,24.031,170
,,,,,,,319,5063,303810,135,14306.625,0.354,21.236,70,,,,,,,,,,372,5905,354286,135,14306.625,0.413,24.764,142
