



,,,,,,,,,,,,Block 8,,,,,,,,,,,,,,,,,Block 16,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
1,α2-6 SiaLac,150,0.41,62,2.44,0.276,90,326,20054,140,15386,0.021,1.303,1445*,,,1,α2-6 SiaLac,150,0.41,62,2.44,0.276,85,308,18940,140,15386,0.020,1.231,1078
,,,,,,,94,341,20946,145,16504.625,0.021,1.269,431,,,,,,,,,,76,275,16935,145,16504.625,0.017,1.026,953
,,,,,,,94,341,20946,140,15386,0.022,1.361,673,,,,,,,,,,82,297,18272,140,15386,0.019,1.188,959
,,,,,,,91,330,20277,140,15386,0.021,1.318,539,,,,,,,,,,74,268,16489,145,16504.625,0.016,0.999,721
,,,,,,,90,326,20054,140,15386,0.021,1.303,413,,,,,,,,,,78,283,17380,145,16504.625,0.017,1.053,538
,,,,,,,91,330,20277,140,15386,0.021,1.318,381,,,,,,,,,,79,286,17603,135,14306.625,0.020,1.230,503
,,200,0.55,110,1.82,0.408,251,615,67672,140,15386,0.040,4.398,1235*,,,,,200,0.55,110,1.82,0.408,238,583,64167,140,15386,0.038,4.170,810*
,,,,,,,261,640,70368,145,16504.625,0.039,4.264,538,,,,,,,,,,206,505,55539,145,16504.625,0.031,3.365,502
,,,,,,,262,642,70637,140,15386,0.042,4.591,388,,,,,,,,,,219,537,59044,140,15386,0.035,3.838,252
,,,,,,,250,613,67402,140,15386,0.040,4.381,224,,,,,,,,,,216,529,58235,140,15386,0.034,3.785,180
,,,,,,,252,618,67941,145,16504.625,0.037,4.116,477,,,,,,,,,,217,532,58505,145,16504.625,0.032,3.545,655
,,,,,,,235,576,63358,145,16504.625,0.035,3.839,470,,,,,,,,,,214,525,57696,140,15386,0.034,3.750,641
,,300,0.40,120,2.50,0.374,102,273,32727,145,16504.625,0.017,1.983,437,,,,,300,0.40,120,2.50,0.374,94,251,30160,150,17662.5,0.014,1.708,665
,,,,,,,102,273,32727,150,17662.5,0.015,1.853,540,,,,,,,,,,95,254,30481,145,16504.625,0.015,1.847,558
,,,,,,,102,273,32727,150,17662.5,0.015,1.853,496,,,,,,,,,,97,259,31123,145,16504.625,0.016,1.886,480
,,,,,,,101,270,32406,145,16504.625,0.016,1.963,110*,,,,,,,,,,94,251,30160,150,17662.5,0.014,1.708,617
,,,,,,,97,259,31123,150,17662.5,0.015,1.762,491,,,,,,,,,,98,262,31444,150,17662.5,0.015,1.780,682
,,,,,,,100,267,32086,145,16504.625,0.016,1.944,505,,,,,,,,,,97,259,31123,145,16504.625,0.016,1.886,565
5,α2-6 SiaLac,150,0.41,62,2.44,0.276,224,812,49913,145,16504.625,0.049,3.024,228,,,5,α2-6 SiaLac,150,0.41,62,2.44,0.276,211,764,47016,140,15386,0.050,3.056,484
,,,,,,,209,757,46571,140,15386,0.049,3.027,139,,,,,,,,,,200,725,44565,140,15386,0.047,2.896,534
,,,,,,,205,743,45679,145,16504.625,0.045,2.768,165,,,,,,,,,,194,703,43228,140,15386,0.046,2.810,547
,,,,,,,172,623,38326,150,17662.5,0.035,2.170,154,,,,,,,,,,190,688,42337,140,15386,0.045,2.752,535
,,,,,,,184,667,41000,145,16504.625,0.040,2.484,214,,,,,,,,,,183,663,40777,140,15386,0.043,2.650,192
,,,,,,,229,830,51027,135,14306.625,0.058,3.567,301,,,,,,,,,,172,623,38326,140,15386,0.041,2.491,115*
,,200,0.55,110,1.82,0.408,619,1517,166887,150,17662.5,0.086,9.449,1150,,,,,200,0.55,110,1.82,0.408,612,1500,165000,150,17662.5,0.085,9.342,913
,,,,,,,627,1537,169044,155,18859.625,0.081,8.963,931,,,,,,,,,,564,1382,152059,150,17662.5,0.078,8.609,925
,,,,,,,559,1370,150711,150,17662.5,0.078,8.533,864,,,,,,,,,,570,1397,153676,150,17662.5,0.079,8.701,924
,,,,,,,540,1324,145588,155,18859.625,0.070,7.720,793,,,,,,,,,,545,1336,146936,150,17662.5,0.076,8.319,886
,,,,,,,532,1304,143431,155,18859.625,0.069,7.605,849,,,,,,,,,,536,1314,144510,150,17662.5,0.074,8.182,832
,,,,,,,597,1463,160956,150,17662.5,0.083,9.113,930,,,,,,,,,,523,1282,141005,145,16504.625,0.078,8.543,1033
,,300,0.40,120,2.50,0.374,230,615,73797,150,17662.5,0.035,4.178,447,,,,,300,0.40,120,2.50,0.374,676,1807,216898,165,21371.625,0.085,10.149,806
,,,,,,,232,620,74439,150,17662.5,0.035,4.214,376,,,,,,,,,,233,623,74759,145,16504.625,0.038,4.530,624
,,,,,,,212,567,68021,155,18859.625,0.030,3.607,155,,,,,,,,,,225,602,72193,145,16504.625,0.036,4.374,266
,,,,,,,218,583,69947,155,18859.625,0.031,3.709,272,,,,,,,,,,207,553,66417,145,16504.625,0.034,4.024,548
,,,,,,,211,564,67701,150,17662.5,0.032,3.833,293,,,,,,,,,,206,551,66096,145,16504.625,0.033,4.005,279
,,,,,,,208,556,66738,150,17662.5,0.031,3.779,486,,,,,,,,,,197,527,63209,145,16504.625,0.032,3.830,660
10,α2-6 SiaLac,150,0.41,62,2.44,0.276,240,870,53913,135,14306.625,0.061,3.768,322,,,10,α2-6 SiaLac,150,0.41,62,2.44,0.276,158,572,35493,145,16504.625,0.035,2.150,654
,,,,,,,200,725,44928,135,14306.625,0.051,3.140,271,,,,,,,,,,197,714,44254,145,16504.625,0.043,2.681,749
,,,,,,,200,725,44928,135,14306.625,0.051,3.140,284,,,,,,,,,,189,685,42457,145,16504.625,0.041,2.572,454
,,,,,,,228,826,51217,135,14306.625,0.058,3.580,204,,,,,,,,,,197,714,44254,145,16504.625,0.043,2.681,454
