CF H1N1 binding to TL-VI-25-1,,,,,,,,,,,,,,,,,CF H1N1 binding to TL-VI-25-1,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,Block 6,,,,,,,,,,,,,,,,,Block 7,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
1,α2-6 SiaLac,150,0.29,44,0.29,0.063,284,4508,196095,145,16504.625,0.273,11.881,5026,,,1,α2-6 SiaLac,150,0.29,44,0.29,0.063,230,3651,158810,155,18859.625,0.194,8.421,2666
,,,,,,,294,4667,203000,145,16504.625,0.283,12.300,4071,,,,,,,,,,232,3683,160190,155,18859.625,0.195,8.494,2026
,,,,,,,302,4794,208524,145,16504.625,0.290,12.634,3662,,,,,,,,,,254,4032,175381,150,17662.5,0.228,9.930,2613
,,,,,,,255,4048,176071,145,16504.625,0.245,10.668,1380,,,,,,,,,,256,4063,176762,155,18859.625,0.215,9.373,1692
,,,,,,,250,3968,172619,150,17662.5,0.225,9.773,1707,,,,,,,,,,266,4222,183667,155,18859.625,0.224,9.739,1389
,,,,,,,245,3889,169167,150,17662.5,0.220,9.578,835,,,,,,,,,,266,4222,183667,150,17662.5,0.239,10.399,997
,,,0.40,60,0.40,0.063,164,2603,156190,160,20096,0.130,7.772,1935,,,,,,0.40,60,0.40,0.063,190,3016,180952,145,16504.625,0.183,10.964,3358
,,,,,,,218,3460,207619,140,15386,0.225,13.494,2672,,,,,,,,,,257,4079,244762,150,17662.5,0.231,13.858,4175
,,,,,,,187,2968,178095,140,15386,0.193,11.575,3513,,,,,,,,,,209,3317,199048,145,16504.625,0.201,12.060,3309
,,,,,,,177,2810,168571,140,15386,0.183,10.956,900,,,,,,,,,,228,3619,217143,145,16504.625,0.219,13.156,1467
,,,,,,,138,2190,131429,130,13266.5,0.165,9.907,443,,,,,,,,,,228,3619,217143,145,16504.625,0.219,13.156,1627
,,,,,,,172,2730,163810,140,15386,0.177,10.647,116,,,,,,,,,,211,3349,200952,150,17662.5,0.190,11.377,*
,,200,0.39,78,0.39,0.275,1301,4731,369011,145,16504.625,0.287,22.358,4828,,,,,200,0.39,78,0.39,0.275,1634,5942,463462,140,15386,0.386,30.122,2358
,,,,,,,1175,4273,333273,140,15386,0.278,21.661,4820,,,,,,,,,,1662,6044,471404,140,15386,0.393,30.638,4117
,,,,,,,1072,3898,304058,145,16504.625,0.236,18.423,1224,,,,,,,,,,1578,5738,447578,140,15386,0.373,29.090,5180
,,,,,,,1095,3982,310582,145,16504.625,0.241,18.818,1912,,,,,,,,,,1594,5796,452116,140,15386,0.377,29.385,963
,,,,,,,1025,3727,290727,145,16504.625,0.226,17.615,1862,,,,,,,,,,1617,5880,458640,145,16504.625,0.356,27.789,911
,,,,,,,981,3567,278247,150,17662.5,0.202,15.754,1576,,,,,,,,,,1592,5789,451549,135,14306.625,0.405,31.562,924
,,,0.49,98,0.49,0.275,1107,4025,394495,140,15386,0.262,25.640,4201,,,,,,0.49,98,0.49,0.275,1628,5920,580160,135,14306.625,0.414,40.552,2224
,,,,,,,1094,3978,389862,145,16504.625,0.241,23.621,5621,,,,,,,,,,1720,6255,612945,135,14306.625,0.437,42.843,3628
,,,,,,,1040,3782,370618,140,15386,0.246,24.088,2554,,,,,,,,,,1575,5727,561273,135,14306.625,0.400,39.232,3662
,,,,,,,909,3305,323935,150,17662.5,0.187,18.340,3365,,,,,,,,,,1619,5887,576953,135,14306.625,0.412,40.328,2080
,,,,,,,951,3458,338902,150,17662.5,0.196,19.188,3468,,,,,,,,,,1711,6222,609738,135,14306.625,0.435,42.619,1020
,,,,,,,1026,3731,365629,145,16504.625,0.226,22.153,2677,,,,,,,,,,1756,6385,625775,135,14306.625,0.446,43.740,*
,,300,0.35,105,0.35,0.093,391,4209,441927,140,15386,0.274,28.723,4605,,,,,300,0.35,105,0.35,0.093,472,5081,533477,140,15386,0.330,34.673,2661
,,,,,,,367,3950,414801,140,15386,0.257,26.960,7472,,,,,,,,,,476,5124,537998,145,16504.625,0.310,32.597,*
,,,,,,,359,3864,405759,145,16504.625,0.234,24.585,2893,,,,,,,,,,415,4467,469053,155,18859.625,0.237,24.871,*
,,,,,,,347,3735,392196,150,17662.5,0.211,22.205,5008,,,,,,,,,,496,5339,560603,145,16504.625,0.323,33.966,1586
,,,,,,,352,3789,397847,150,17662.5,0.215,22.525,3231,,,,,,,,,,504,5425,569645,140,15386,0.353,37.024,1746
,,,,,,,367,3950,414801,155,18859.625,0.209,21.994,3587,,,,,,,,,,485,5221,548170,140,15386,0.339,35.628,1115
,,,0.47,141,0.47,0.093,299,3219,453811,150,17662.5,0.182,25.693,5414,,,,,,0.47,141,0.47,0.093,378,4069,573714,145,16504.625,0.247,34.761,2975
,,,,,,,271,2917,411313,155,18859.625,0.155,21.809,4951,,,,,,,,,,365,3929,553983,145,16504.625,0.238,33.565,3896
,,,,,,,283,3046,429526,155,18859.625,0.162,22.775,2984,,,,,,,,,,405,4360,614693,145,16504.625,0.264,37.244,3741
,,,,,,,257,2766,390065,155,18859.625,0.147,20.683,4193,,,,,,,,,,390,4198,591927,145,16504.625,0.254,35.864,2037
,,,,,,,307,3305,465953,155,18859.625,0.175,24.706,5293,,,,,,,,,,283,3046,429526,170,22686.5,0.134,18.933,983
,,,,,,,328,3531,497826,150,17662.5,0.200,28.185,4280,,,,,,,,,,292,3143,443186,185,26866.625,0.117,16.496,1010
5,α2-6 SiaLac,150,0.29,44,0.29,0.063,1155,18333,797500,150,17662.5,1.038,45.152,2819,,,5,α2-6 SiaLac,150,0.29,44,0.29,0.063,1360,21587,939048,145,16504.625,1.308,56.896,2731
,,,,,,,1086,17238,749857,155,18859.625,0.914,39.760,3769,,,,,,,,,,1267,20111,874833,150,17662.5,1.139,49.531,2995
,,,,,,,1043,16556,720167,155,18859.625,0.878,38.186,3474,,,,,,,,,,1280,20317,883810,150,17662.5,1.150,50.039,3010
,,,,,,,1176,18667,812000,155,18859.625,0.990,43.055,6348,,,,,,,,,,1390,22063,959762,150,17662.5,1.249,54.339,2727
,,,,,,,1214,19270,838238,155,18859.625,1.022,44.446,4142,,,,,,,,,,1309,20778,903833,150,17662.5,1.176,51.172,3901
,,,,,,,1219,19349,841690,150,17662.5,1.095,47.654,4369,,,,,,,,,,1378,21873,951476,145,16504.625,1.325,57.649,*
,,,0.40,60,0.40,0.063,705,11190,671429,145,16504.625,0.678,40.681,1110,,,,,,0.40,60,0.40,0.063,716,11365,681905,160,20096,0.566,33.932,*
,,,,,,,734,11651,699048,150,17662.5,0.660,39.578,1381,,,,,,,,,,889,14111,846667,145,16504.625,0.855,51.299,*
,,,,,,,749,11889,713333,150,17662.5,0.673,40.387,1961,,,,,,,,,,821,13032,781905,150,17662.5,0.738,44.269,*
,,,,,,,857,13603,816190,145,16504.625,0.824,49.452,3854,,,,,,,,,,915,14524,871429,145,16504.625,0.880,52.799,1589
,,,,,,,911,14460,867619,140,15386,0.940,56.390,5709,,,,,,,,,,974,15460,927619,140,15386,1.005,60.290,3644
,,,,,,,952,15111,906667,140,15386,0.982,58.928,6623,,,,,,,,,,1015,16111,966667,135,14306.625,1.126,67.568,4612
,,200,0.39,78,0.39,0.275,5417,19698,1536458,150,17662.5,1.115,86.990,2627,,,,,200,0.39,78,0.39,0.275,6296,22895,1785775,145,16504.625,1.387,108.198,954
,,,,,,,5298,19265,1502705,150,17662.5,1.091,85.079,3737,,,,,,,,,,6283,22847,1782087,145,16504.625,1.384,107.975,1503
,,,,,,,5581,20295,1582975,150,17662.5,1.149,89.623,4670,,,,,,,,,,6442,23425,1827185,140,15386,1.523,118.756,2014
,,,,,,,5806,21113,1646793,145,16504.625,1.279,99.778,4850,,,,,,,,,,6422,23353,1821513,140,15386,1.518,118.388,1399
,,,,,,,6005,21836,1703236,150,17662.5,1.236,96.432,3659,,,,,,,,,,6609,24033,1874553,140,15386,1.562,121.835,2322
,,,,,,,6150,22364,1744364,145,16504.625,1.355,105.689,7985,,,,,,,,,,6582,23935,1866895,140,15386,1.556,121.337,6676
,,,0.49,98,0.49,0.275,4833,17575,1722305,145,16504.625,1.065,104.353,3893,,,,,,0.49,98,0.49,0.275,5796,21076,2065484,135,14306.625,1.473,144.373,837
,,,,,,,4735,17218,1687382,150,17662.5,0.975,95.535,3220,,,,,,,,,,5590,20327,1992073,140,15386,1.321,129.473,821
,,,,,,,5125,18636,1826364,145,16504.625,1.129,110.658,3737,,,,,,,,,,5597,20353,1994567,140,15386,1.323,129.635,1391
,,,,,,,5270,19164,1878036,145,16504.625,1.161,113.788,4312,,,,,,,,,,5563,20229,1982451,140,15386,1.315,128.848,1912
,,,,,,,5433,19756,1936124,145,16504.625,1.197,117.308,5274,,,,,,,,,,5765,20964,2054436,140,15386,1.363,133.526,2227
,,,,,,,5898,21447,2101833,140,15386,1.394,136.607,4186,,,,,,,,,,5957,21662,2122858,140,15386,1.408,137.973,5552
,,300,0.35,105,0.35,0.093,1790,19268,2023143,140,15386,1.252,131.492,5545,,,,,300,0.35,105,0.35,0.093,1890,20344,2136168,140,15386,1.322,138.838,1740
,,,,,,,1708,18385,1930463,145,16504.625,1.114,116.965,3644,,,,,,,,,,1677,18052,1895425,150,17662.5,1.022,107.314,2547
,,,,,,,1898,20431,2145210,145,16504.625,1.238,129.976,3397,,,,,,,,,,1901,20463,2148601,140,15386,1.330,139.646,1744
,,,,,,,1716,18471,1939505,140,15386,1.201,126.056,5318,,,,,,,,,,1885,20291,2130517,145,16504.625,1.229,129.086,1917
,,,,,,,1799,19365,2033315,140,15386,1.259,132.154,7096,,,,,,,,,,1894,20388,2140689,140,15386,1.325,139.132,2578
,,,,,,,1750,18837,1977933,135,14306.625,1.317,138.253,4719,,,,,,,,,,1991,21432,2250323,140,15386,1.393,146.258,6442
,,,0.47,141,0.47,0.093,1573,16932,2387438,140,15386,1.100,155.170,4506,,,,,,0.47,141,0.47,0.093,1522,16383,2310032,145,16504.625,0.993,139.963,1915
,,,,,,,1350,14532,2048977,145,16504.625,0.880,124.146,4174,,,,,,,,,,1551,16695,2354047,145,16504.625,1.012,142.630,1246
,,,,,,,1607,17298,2439042,140,15386,1.124,158.523,4856,,,,,,,,,,1587,17083,2408687,145,16504.625,1.035,145.940,3372
,,,,,,,1568,16878,2379849,140,15386,1.097,154.676,7100,,,,,,,,,,1621,17449,2460291,145,16504.625,1.057,149.067,1487
,,,,,,,1629,17535,2472433,135,14306.625,1.226,172.817,3643,,,,,,,,,,1626,17503,2467879,145,16504.625,1.060,149.527,3982
,,,,,,,2023,21776,3070431,135,14306.625,1.522,214.616,5038,,,,,,,,,,1817,19559,2757772,130,13266.5,1.474,207.875,7031
10,α2-6 SiaLac,150,0.29,44,0.29,0.063,2297,36460,1604254,145,16504.625,2.209,97.200,4015,,,10,α2-6 SiaLac,150,0.29,44,0.29,0.063,2450,38889,1711111,145,16504.625,2.356,103.675,5611
,,,,,,,2417,38365,1688063,145,16504.625,2.325,102.278,5448,,,,,,,,,,2436,38667,1701333,140,15386,2.513,110.577,4251
,,,,,,,2419,38397,1689460,140,15386,2.496,109.805,6092,,,,,,,,,,2423,38460,1692254,145,16504.625,2.330,102.532,3698
,,,,,,,2430,38571,1697143,145,16504.625,2.337,102.828,4558,,,,,,,,,,2449,38873,1710413,140,15386,2.527,111.167,5490
,,,,,,,2424,38476,1692952,145,16504.625,2.331,102.574,5501,,,,,,,,,,2487,39476,1736952,145,16504.625,2.392,105.240,5005
,,,,,,,2434,38635,1699937,145,16504.625,2.341,102.998,5234,,,,,,,,,,2497,39635,1743937,140,15386,2.576,113.346,5770
,,,0.40,60,0.40,0.063,1506,23905,1434286,140,15386,1.554,93.220,7699,,,,,,0.40,60,0.40,0.063,1494,23714,1422857,140,15386,1.541,92.477,5898
,,,,,,,1565,24841,1490476,145,16504.625,1.505,90.307,7991,,,,,,,,,,1500,23810,1428571,140,15386,1.547,92.849,6794
,,,,,,,1490,23651,1419048,145,16504.625,1.433,85.979,9331,,,,,,,,,,1463,23222,1393333,145,16504.625,1.407,84.421,6969
,,,,,,,1584,25143,1508571,145,16504.625,1.523,91.403,9773,,,,,,,,,,1447,22968,1378095,140,15386,1.493,89.568,*
,,,,,,,1399,22206,1332381,150,17662.5,1.257,75.436,6140,,,,,,,,,,1498,23778,1426667,145,16504.625,1.441,86.440,5764
,,,,,,,1563,24810,1488571,145,16504.625,1.503,90.191,8309,,,,,,,,,,1517,24079,1444762,140,15386,1.565,93.901,6146
,,200,0.39,78,0.39,0.275,11142,40516,3160276,145,16504.625,2.455,191.478,11684,,,,,200,0.39,78,0.39,0.275,12182,44298,3455258,140,15386,2.879,224.572,8252
,,,,,,,11403,41465,3234305,145,16504.625,2.512,195.964,7900,,,,,,,,,,11946,43440,3388320,145,16504.625,2.632,205.295,7065
,,,,,,,11154,40560,3163680,145,16504.625,2.457,191.684,8668,,,,,,,,,,11711,42585,3321665,145,16504.625,2.580,201.257,9273
,,,,,,,11225,40818,3183818,145,16504.625,2.473,192.905,8623,,,,,,,,,,12183,44302,3455542,140,15386,2.879,224.590,8521
,,,,,,,11138,40502,3159142,150,17662.5,2.293,178.862,8975,,,,,,,,,,12253,44556,3475396,145,16504.625,2.700,210.571,10553
,,,,,,,11510,41855,3264655,150,17662.5,2.370,184.835,8243,,,,,,,,,,12447,45262,3530422,145,16504.625,2.742,213.905,10179
,,,0.49,98,0.49,0.275,8679,31560,3092880,140,15386,2.051,201.019,6829,,,,,,0.49,98,0.49,0.275,8932,32480,3183040,130,13266.5,2.448,239.931,6567
,,,,,,,8658,31484,3085396,140,15386,2.046,200.533,7643,,,,,,,,,,8565,31145,3052255,140,15386,2.024,198.379,10107
,,,,,,,8761,31858,3122102,135,14306.625,2.227,218.228,10564,,,,,,,,,,8653,31465,3083615,140,15386,2.045,200.417,8113
,,,,,,,8592,31244,3061876,140,15386,2.031,199.004,9784,,,,,,,,,,8577,31189,3056531,135,14306.625,2.180,213.644,9213
,,,,,,,8605,31291,3066509,140,15386,2.034,199.305,12310,,,,,,,,,,8744,31796,3116044,140,15386,2.067,202.525,9287
,,,,,,,8196,29804,2920756,140,15386,1.937,189.832,10086,,,,,,,,,,8748,31811,3117469,145,16504.625,1.927,188.885,10158
,,300,0.35,105,0.35,0.093,3088,33240,3490205,135,14306.625,2.323,243.957,7447,,,,,300,0.35,105,0.35,0.093,2988,32164,3377180,140,15386,2.090,219.497,*
,,,,,,,2953,31787,3337621,135,14306.625,2.222,233.292,8289,,,,,,,,,,3022,32530,3415608,135,14306.625,2.274,238.743,10949
,,,,,,,2982,32099,3370398,135,14306.625,2.244,235.583,8675,,,,,,,,,,2875,30947,3249462,140,15386,2.011,211.196,13656
,,,,,,,3112,33498,3517330,135,14306.625,2.341,245.853,11013,,,,,,,,,,2840,30571,3209903,140,15386,1.987,208.625,14510
,,,,,,,3339,35942,3773897,145,16504.625,2.178,228.657,13132,,,,,,,,,,2902,31238,3279978,140,15386,2.030,213.179,15690
,,,,,,,2788,30011,3151130,150,17662.5,1.699,178.408,11901,,,,,,,,,,2835,30517,3204252,140,15386,1.983,208.258,12550
,,,0.47,141,0.47,0.093,2882,31023,4374187,140,15386,2.016,284.297,6943,,,,,,0.47,141,0.47,0.093,2439,26254,3701819,130,13266.5,1.979,279.035,10656
,,,,,,,2981,32088,4524446,135,14306.625,2.243,316.248,7883,,,,,,,,,,2614,28138,3967427,135,14306.625,1.967,277.314,12601
,,,,,,,2966,31927,4501679,135,14306.625,2.232,314.657,6329,,,,,,,,,,2661,28644,4038762,135,14306.625,2.002,282.300,15008
,,,,,,,2837,30538,4305888,140,15386,1.985,279.858,8901,,,,,,,,,,2651,28536,4023584,135,14306.625,1.995,281.239,13409
,,,,,,,3003,32325,4557836,135,14306.625,2.259,318.582,16786,,,,,,,,,,2612,28116,3964392,135,14306.625,1.965,277.102,16549
,,,,,,,3040,32723,4613994,140,15386,2.127,299.883,15879,,,,,,,,,,2673,28773,4056975,135,14306.625,2.011,283.573,15980
1,α2-3 SiaLac,150,0.34,51,0.34,0.063,158,2508,127905,175,24040.625,0.104,5.320,228,,,1,α2-3 SiaLac,150,0.34,51,0.34,0.063,293,4651,237190,140,15386,0.302,15.416,243
,,,,,,,89,1413,72048,170,22686.5,0.062,3.176,433,,,,,,,,,,227,3603,183762,165,21371.625,0.169,8.598,518
,,,,,,,140,2222,113333,130,13266.5,0.168,8.543,133,,,,,,,,,,293,4651,237190,125,12265.625,0.379,19.338,433
,,,,,,,130,2063,105238,130,13266.5,0.156,7.933,-33,,,,,,,,,,254,4032,205619,120,11304,0.357,18.190,247
,,,,,,,122,1937,98762,160,20096,0.096,4.915,4,,,,,,,,,,203,3222,164333,170,22686.5,0.142,7.244,-155
,,,,,,,152,2413,123048,120,11304,0.213,10.885,18,,,,,,,,,,204,3238,165143,170,22686.5,0.143,7.279,-130
,,,0.58,87,0.58,0.063,82,1302,113238,155,18859.625,0.069,6.004,-161,,,,,,0.58,87,0.58,0.063,166,2635,229238,90,6358.5,0.414,36.052,170
,,,,,,,62,984,85619,150,17662.5,0.056,4.848,140,,,,,,,,,,125,1984,172619,170,22686.5,0.087,7.609,553
,,,,,,,80,1270,110476,160,20096,0.063,5.497,-74,,,,,,,,,,151,2397,208524,170,22686.5,0.106,9.192,-130
,,,,,,,93,1476,128429,160,20096,0.073,6.391,-150,,,,,,,,,,119,1889,164333,170,22686.5,0.083,7.244,-131
,,,,,,,90,1429,124286,160,20096,0.071,6.185,-87,,,,,,,,,,129,2048,178143,170,22686.5,0.090,7.852,-89
,,,,,,,127,2016,175381,160,20096,0.100,8.727,-164,,,,,,,,,,170,2698,234762,170,22686.5,0.119,10.348,-185
,,200,0.37,74,0.37,0.275,1994,7251,536567,155,18859.625,0.384,28.451,110,,,,,200,0.37,74,0.37,0.275,1968,7156,529571,140,15386,0.465,34.419,261
,,,,,,,2718,9884,731389,155,18859.625,0.524,38.781,799,,,,,,,,,,2004,7287,539258,135,14306.625,0.509,37.693,117
,,,,,,,3301,12004,888269,150,17662.5,0.680,50.291,-6,,,,,,,,,,2046,7440,550560,135,14306.625,0.520,38.483,-106
,,,,,,,3523,12811,948007,150,17662.5,0.725,53.673,-239,,,,,,,,,,2034,7396,547331,135,14306.625,0.517,38.257,-400
,,,,,,,3034,11033,816422,150,17662.5,0.625,46.223,-116,,,,,,,,,,2061,7495,554596,135,14306.625,0.524,38.765,-375
,,,,,,,2865,10418,770945,150,17662.5,0.590,43.649,-191,,,,,,,,,,2150,7818,578545,135,14306.625,0.546,40.439,-360
,,,0.52,104,0.52,0.275,1763,6411,666735,150,17662.5,0.363,37.749,163,,,,,,0.52,104,0.52,0.275,1613,5865,610007,130,13266.5,0.442,45.981,-17
,,,,,,,2424,8815,916713,150,17662.5,0.499,51.902,88,,,,,,,,,,1614,5869,610385,135,14306.625,0.410,42.665,220
,,,,,,,2371,8622,896669,145,16504.625,0.522,54.328,184,,,,,,,,,,1902,6916,719302,135,14306.625,0.483,50.278,-225
,,,,,,,2606,9476,985542,150,17662.5,0.537,55.799,197,,,,,,,,,,1951,7095,737833,130,13266.5,0.535,55.616,-275
,,,,,,,2631,9567,994996,145,16504.625,0.580,60.286,132,,,,,,,,,,2103,7647,795316,145,16504.625,0.463,48.187,-205
,,,,,,,2487,9044,940538,140,15386,0.588,61.129,-49,,,,,,,,,,2093,7611,791535,130,13266.5,0.574,59.664,-290
,,300,0.36,108,0.36,0.093,1120,12056,1302045,140,15386,0.784,84.625,470,,,,,300,0.36,108,0.36,0.093,1109,11938,1289257,135,14306.625,0.834,90.116,391
,,,,,,,1325,14263,1540366,140,15386,0.927,100.115,447,,,,,,,,,,1038,11173,1206717,135,14306.625,0.781,84.347,751
,,,,,,,178,1916,206932,160,20096,0.095,10.297,-115,,,,,,,,,,1164,12530,1353197,125,12265.625,1.022,110.324,314
,,,,,,,288,3100,334812,135,14306.625,0.217,23.403,-375,,,,,,,,,,1437,15468,1670571,90,6358.5,2.433,262.730,436
,,,,,,,346,3724,402239,150,17662.5,0.211,22.774,-495,,,,,,,,,,1339,14413,1556642,95,7084.625,2.034,219.721,510
,,,,,,,302,3251,351087,130,13266.5,0.245,26.464,-475,,,,,,,,,,1260,13563,1464801,130,13266.5,1.022,110.414,469
,,,0.46,138,0.46,0.093,699,7524,1038342,150,17662.5,0.426,58.788,377,,,,,,0.46,138,0.46,0.093,785,8450,1166093,135,14306.625,0.591,81.507,*
,,,,,,,900,9688,1336921,145,16504.625,0.587,81.003,56,,,,,,,,,,812,8741,1206200,145,16504.625,0.530,73.083,215
,,,,,,,230,2476,341658,140,15386,0.161,22.206,-138,,,,,,,,,,1089,11722,1617675,130,13266.5,0.884,121.937,39
,,,,,,,347,3735,515457,135,14306.625,0.261,36.029,-299,,,,,,,,,,312,3358,463466,165,21371.625,0.157,21.686,-174
,,,,,,,523,5630,776900,165,21371.625,0.263,36.352,-421,,,,,,,,,,315,3391,467922,165,21371.625,0.159,21.895,-264
,,,,,,,495,5328,735307,165,21371.625,0.249,34.406,-486,,,,,,,,,,534,5748,793240,165,21371.625,0.269,37.117,-280
5,α2-3 SiaLac,150,0.34,51,0.34,0.063,3365,53413,2724048,145,16504.625,3.236,165.048,76,,,5,α2-3 SiaLac,150,0.34,51,0.34,0.063,2045,32460,1655476,140,15386,2.110,107.596,-180
,,,,,,,3399,53952,2751571,140,15386,3.507,178.836,-73,,,,,,,,,,2803,44492,2269095,135,14306.625,3.110,158.605,-186
,,,,,,,3272,51937,2648762,140,15386,3.376,172.154,12,,,,,,,,,,2699,42841,2184905,135,14306.625,2.995,152.720,-45
,,,,,,,2634,41810,2132286,150,17662.5,2.367,120.724,334,,,,,,,,,,2685,42619,2173571,140,15386,2.770,141.269,-41
,,,,,,,3521,55889,2850333,140,15386,3.632,185.255,-216,,,,,,,,,,2859,45381,2314429,140,15386,2.949,150.424,-192
,,,,,,,3339,53000,2703000,140,15386,3.445,175.679,-153,,,,,,,,,,2882,45746,2333048,135,14306.625,3.198,163.075,-239
,,,0.58,87,0.58,0.063,664,10540,916952,150,17662.5,0.597,51.915,-292,,,,,,0.58,87,0.58,0.063,1562,24794,2157048,140,15386,1.611,140.195,116
,,,,,,,545,8651,752619,145,16504.625,0.524,45.600,-325,,,,,,,,,,1596,25333,2204000,140,15386,1.647,143.247,168
,,,,,,,629,9984,868619,145,16504.625,0.605,52.629,-385,,,,,,,,,,1681,26683,2321381,130,13266.5,2.011,174.981,65
,,,,,,,717,11381,990143,150,17662.5,0.644,56.059,-360,,,,,,,,,,1643,26079,2268905,130,13266.5,1.966,171.025,538
,,,,,,,695,11032,959762,145,16504.625,0.668,58.151,-478,,,,,,,,,,1706,27079,2355905,135,14306.625,1.893,164.672,245
,,,,,,,792,12571,1093714,150,17662.5,0.712,61.923,-454,,,,,,,,,,1638,26000,2262000,140,15386,1.690,147.017,263
,,200,0.37,74,0.37,0.275,5990,21782,1611855,145,16504.625,1.320,97.661,-531,,,,,200,0.37,74,0.37,0.275,7184,26124,1933149,135,14306.625,1.826,135.123,-468
,,,,,,,5922,21535,1593556,145,16504.625,1.305,96.552,-563,,,,,,,,,,7204,26196,1938531,135,14306.625,1.831,135.499,-451
,,,,,,,6106,22204,1643069,145,16504.625,1.345,99.552,-621,,,,,,,,,,6288,22865,1692044,145,16504.625,1.385,102.519,-462
,,,,,,,6265,22782,1685855,145,16504.625,1.380,102.144,-538,,,,,,,,,,6894,25069,1855113,140,15386,1.629,120.571,-543
,,,,,,,6649,24178,1789185,140,15386,1.571,116.287,-600,,,,,,,,,,7248,26356,1950371,135,14306.625,1.842,136.326,-536
,,,,,,,6996,25440,1882560,140,15386,1.653,122.355,-740,,,,,,,,,,7511,27313,2021142,135,14306.625,1.909,141.273,-553
,,,0.52,104,0.52,0.275,4971,18076,1879942,140,15386,1.175,122.185,-242,,,,,,0.52,104,0.52,0.275,5939,21596,2246022,135,14306.625,1.510,156.992,-254
,,,,,,,5118,18611,1935535,140,15386,1.210,125.798,-150,,,,,,,,,,5879,21378,2223331,135,14306.625,1.494,155.406,-215
,,,,,,,5282,19207,1997556,140,15386,1.248,129.829,-546,,,,,,,,,,5825,21182,2202909,140,15386,1.377,143.176,-399
,,,,,,,5431,19749,2053905,135,14306.625,1.380,143.563,-370,,,,,,,,,,5881,21385,2224087,130,13266.5,1.612,167.647,-320
,,,,,,,5562,20225,2103447,140,15386,1.315,136.712,-368,,,,,,,,,,6018,21884,2275898,135,14306.625,1.530,159.080,-318
,,,,,,,6248,22720,2362880,135,14306.625,1.588,165.160,-454,,,,,,,,,,6408,23302,2423389,135,14306.625,1.629,169.389,-274
,,300,0.36,108,0.36,0.093,3702,39849,4303724,135,14306.625,2.785,300.820,148,,,,,300,0.36,108,0.36,0.093,2931,31550,3407406,135,14306.625,2.205,238.170,63
,,,,,,,4040,43488,4696663,130,13266.5,3.278,354.024,128,,,,,,,,,,3753,40398,4363014,125,12265.625,3.294,355.711,168
,,,,,,,4130,44456,4801292,130,13266.5,3.351,361.911,-35,,,,,,,,,,3887,41841,4518794,130,13266.5,3.154,340.617,208
,,,,,,,3883,41798,4514144,135,14306.625,2.922,315.528,206,,,,,,,,,,3913,42121,4549020,130,13266.5,3.175,342.895,273
,,,,,,,4009,43154,4660624,135,14306.625,3.016,325.767,143,,,,,,,,,,3559,38310,4137481,130,13266.5,2.888,311.874,400
,,,,,,,3893,41905,4525770,135,14306.625,2.929,316.341,459,,,,,,,,,,1938,20861,2253003,135,14306.625,1.458,157.480,-342
