



,,,,,,,,,,,,Block 10,,,,,,,,,,,,,,,,,Block 11,,
µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE,,,µM PRINTED POLYMER,GLYCAN,DP,LIGATION EFF,VALENCY, GLYCAN SPACING ON POLYMER,Polymer labeling eff,Polymer Signal ,Polymer per spot ,Glycan per spot,Spot diameter ,Spot area,POLYMER SPACING ,GLYCAN DENSITY,MEAN VIRAL FLUORESCENCE
1,α2-6 SiaLac,150,0.29,44,0.29,0.063,373,5921,257548,145,16504.625,0.359,15.605,2667,,,1,α2-6 SiaLac,150,0.29,44,0.29,0.063,379,6016,261690,145,16504.625,0.364,15.856,2792
,,,,,,,379,6016,261690,150,17662.5,0.341,14.816,2322,,,,,,,,,,386,6127,266524,150,17662.5,0.347,15.090,3318
,,,,,,,390,6190,269286,145,16504.625,0.375,16.316,2641,,,,,,,,,,383,6079,264452,150,17662.5,0.344,14.973,2092
,,,,,,,389,6175,268595,145,16504.625,0.374,16.274,2404,,,,,,,,,,379,6016,261690,150,17662.5,0.341,14.816,2555
,,,,,,,416,6603,287238,145,16504.625,0.400,17.403,2695,,,,,,,,,,402,6381,277571,150,17662.5,0.361,15.715,3058
,,,,,,,407,6460,281024,145,16504.625,0.391,17.027,2046,,,,,,,,,,409,6492,282405,145,16504.625,0.393,17.111,2626
,,,0.40,60,0.40,0.063,323,5127,307619,135,14306.625,0.358,21.502,2636,,,,,,0.40,60,0.40,0.063,327,5190,311429,140,15386,0.337,20.241,3568
,,,,,,,391,6206,372381,170,22686.5,0.274,16.414,2266,,,,,,,,,,317,5032,301905,140,15386,0.327,19.622,3047
,,,,,,,329,5222,313333,135,14306.625,0.365,21.901,2491,,,,,,,,,,319,5063,303810,140,15386,0.329,19.746,2784
,,,,,,,338,5365,321905,135,14306.625,0.375,22.500,2296,,,,,,,,,,329,5222,313333,140,15386,0.339,20.365,3708
,,,,,,,355,5635,338095,135,14306.625,0.394,23.632,2217,,,,,,,,,,349,5540,332381,140,15386,0.360,21.603,3117
,,,,,,,365,5794,347619,130,13266.5,0.437,26.203,2323,,,,,,,,,,360,5714,342857,140,15386,0.371,22.284,2581
,,200,0.39,78,0.39,0.275,1722,6262,488422,145,16504.625,0.379,29.593,3115,,,,,200,0.39,78,0.39,0.275,1798,6538,509978,145,16504.625,0.396,30.899,3738
,,,,,,,1682,6116,477076,145,16504.625,0.371,28.906,3010,,,,,,,,,,1779,6469,504589,145,16504.625,0.392,30.573,3350
,,,,,,,1742,6335,494095,140,15386,0.412,32.113,2368,,,,,,,,,,1859,6760,527280,145,16504.625,0.410,31.947,2728
,,,,,,,1748,6356,495796,140,15386,0.413,32.224,2197,,,,,,,,,,1799,6542,510262,145,16504.625,0.396,30.916,2929
,,,,,,,1943,7065,551105,145,16504.625,0.428,33.391,2350,,,,,,,,,,1960,7127,555927,145,16504.625,0.432,33.683,2875
,,,,,,,1916,6967,543447,140,15386,0.453,35.321,1917,,,,,,,,,,1898,6902,538342,145,16504.625,0.418,32.618,2153
,,,0.49,98,0.49,0.275,1646,5985,586575,140,15386,0.389,38.124,2558,,,,,,0.49,98,0.49,0.275,1657,6025,590495,145,16504.625,0.365,35.778,2835
,,,,,,,1595,5800,568400,145,16504.625,0.351,34.439,2084,,,,,,,,,,1633,5938,581942,145,16504.625,0.360,35.259,2091
,,,,,,,1633,5938,581942,140,15386,0.386,37.823,2444,,,,,,,,,,1696,6167,604393,140,15386,0.401,39.282,2642
,,,,,,,1655,6018,589782,140,15386,0.391,38.332,2600,,,,,,,,,,1634,5942,582298,145,16504.625,0.360,35.281,2049
,,,,,,,1754,6378,625062,140,15386,0.415,40.625,2176,,,,,,,,,,1736,6313,618647,145,16504.625,0.382,37.483,2182
,,,,,,,1878,6829,669251,140,15386,0.444,43.497,2400,,,,,,,,,,1835,6673,653927,140,15386,0.434,42.501,2409
,,300,0.35,105,0.35,0.093,606,6523,684930,145,16504.625,0.395,41.499,2365,,,,,300,0.35,105,0.35,0.093,632,6803,714316,135,14306.625,0.476,49.929,3197
,,,,,,,622,6695,703014,140,15386,0.435,45.692,2035,,,,,,,,,,617,6642,697363,140,15386,0.432,45.324,2588
,,,,,,,639,6878,722228,140,15386,0.447,46.941,3370,,,,,,,,,,617,6642,697363,140,15386,0.432,45.324,3555
,,,,,,,633,6814,715447,140,15386,0.443,46.500,1973,,,,,,,,,,599,6448,677018,145,16504.625,0.391,41.020,2503
,,,,,,,688,7406,777610,140,15386,0.481,50.540,2123,,,,,,,,,,637,6857,719968,140,15386,0.446,46.794,2841
,,,,,,,706,7600,797955,140,15386,0.494,51.862,1655,,,,,,,,,,636,6846,718837,140,15386,0.445,46.720,2726
,,,0.47,141,0.47,0.093,473,5091,717901,140,15386,0.331,46.659,2617,,,,,,0.47,141,0.47,0.093,461,4962,699688,140,15386,0.323,45.476,2385
,,,,,,,461,4962,699688,140,15386,0.323,45.476,1825,,,,,,,,,,475,5113,720936,135,14306.625,0.357,50.392,2502
,,,,,,,458,4930,695135,140,15386,0.320,45.180,2114,,,,,,,,,,475,5113,720936,140,15386,0.332,46.857,2530
,,,,,,,460,4952,698170,140,15386,0.322,45.377,2036,,,,,,,,,,453,4876,687546,140,15386,0.317,44.686,2258
