PrintPol,GlycType,Valency,GlycSpace,PolSpace,GlycDen,MVF,DP,SubArr,ExpNum,FileName,MVF_orig,MVF_norm,Experiment
1.0,2-6 SiaLac,105.0,1.81,0.032,3.341,400.47889853337324,190.0,0,1,Data/H1N1_EGG/old_sheet1.csv,1338.0,0.16152000883405063,Binder
1.0,2-6 SiaLac,105.0,1.81,0.027,2.854,357.7435178696566,190.0,0,1,Data/H1N1_EGG/old_sheet1.csv,1021.0,0.1442840968106989,Binder
1.0,2-6 SiaLac,105.0,1.81,0.032,3.341,378.3298413648608,190.0,0,1,Data/H1N1_EGG/old_sheet1.csv,1264.0,0.15258691417506723,Binder
1.0,2-6 SiaLac,105.0,1.81,0.025,2.654,1094.5742275810098,190.0,0,1,Data/H1N1_EGG/old_sheet1.csv,2905.0,0.4414605602339267,Binder
1.0,2-6 SiaLac,105.0,1.81,0.012,1.295,1799.2277992277993,190.0,0,1,Data/H1N1_EGG/old_sheet1.csv,2330.0,0.7256594319701116,Binder
1.0,2-6 SiaLac,105.0,1.81,0.013,1.331,681.4425244177311,190.0,0,1,Data/H1N1_EGG/old_sheet1.csv,907.0,0.2748374582704199,Binder
1.0,2-6 SiaLac,88.0,2.17,0.02,1.736,755.7603686635945,190.0,0,2,Data/H1N1_EGG/old_sheet1.csv,1312.0,0.3048111195621374,Binder
1.0,2-6 SiaLac,88.0,2.17,0.02,1.753,704.5065601825443,190.0,0,2,Data/H1N1_EGG/old_sheet1.csv,1235.0,0.28413957949109897,Binder
1.0,2-6 SiaLac,88.0,2.17,0.02,1.736,717.1658986175115,190.0,0,2,Data/H1N1_EGG/old_sheet1.csv,1245.0,0.2892453078162051,Binder
1.0,2-6 SiaLac,88.0,2.17,0.02,1.769,749.576031656303,190.0,0,2,Data/H1N1_EGG/old_sheet1.csv,1326.0,0.302316870372708,Binder
1.0,2-6 SiaLac,88.0,2.17,0.02,1.769,561.3340870548333,190.0,0,2,Data/H1N1_EGG/old_sheet1.csv,993.0,0.22639566536960712,Binder
1.0,2-6 SiaLac,79.0,2.42,0.018,1.451,1257.0640937284631,190.0,0,3,Data/H1N1_EGG/old_sheet1.csv,1824.0,0.5069955102942062,Binder
1.0,2-6 SiaLac,79.0,2.42,0.038,2.978,316.31967763599727,190.0,0,3,Data/H1N1_EGG/old_sheet1.csv,942.0,0.12757715153846655,Binder
1.0,2-6 SiaLac,79.0,2.42,0.02,1.587,427.2211720226843,190.0,0,3,Data/H1N1_EGG/old_sheet1.csv,678.0,0.17230562641853409,Binder
1.0,2-6 SiaLac,79.0,2.42,0.019,1.513,268.3410442828817,190.0,0,3,Data/H1N1_EGG/old_sheet1.csv,406.0,0.10822654577266709,Binder
1.0,2-6 SiaLac,71.0,2.69,0.018,1.276,630.0940438871473,190.0,0,4,Data/H1N1_EGG/old_sheet1.csv,804.0,0.2541277353379797,Binder
1.0,2-6 SiaLac,71.0,2.69,0.02,1.384,361.27167630057806,190.0,0,4,Data/H1N1_EGG/old_sheet1.csv,500.0,0.1457070636212283,Binder
1.0,2-6 SiaLac,71.0,2.69,0.017,1.2,1560.0,190.0,0,4,Data/H1N1_EGG/old_sheet1.csv,1872.0,0.6291747572815534,Binder
1.0,2-6 SiaLac,71.0,2.69,0.018,1.287,421.91142191142194,190.0,0,4,Data/H1N1_EGG/old_sheet1.csv,543.0,0.17016411312527818,Binder
1.0,2-6 SiaLac,71.0,2.69,0.022,1.547,207.4983839689722,190.0,0,4,Data/H1N1_EGG/old_sheet1.csv,321.0,0.08368765728845683,Binder
1.0,2-6 SiaLac,71.0,2.69,0.033,2.36,117.37288135593221,190.0,0,4,Data/H1N1_EGG/old_sheet1.csv,277.0,0.0473384962426636,Non-binder
1.0,2-6 SiaLac,61.0,3.11,0.031,1.927,768.5521536066424,190.0,0,5,Data/H1N1_EGG/old_sheet1.csv,1481.0,0.3099702658356887,Binder
1.0,2-6 SiaLac,61.0,3.11,0.033,2.033,356.61583866207576,190.0,0,5,Data/H1N1_EGG/old_sheet1.csv,725.0,0.14382928444421098,Binder
1.0,2-6 SiaLac,61.0,3.11,0.029,1.763,238.7975042541123,190.0,0,5,Data/H1N1_EGG/old_sheet1.csv,421.0,0.0963111293452063,Binder
1.0,2-6 SiaLac,61.0,3.11,0.036,2.228,338.4201077199282,190.0,0,5,Data/H1N1_EGG/old_sheet1.csv,754.0,0.1364906340601814,Binder
1.0,2-6 SiaLac,61.0,3.11,0.028,1.721,0.0,190.0,0,5,Data/H1N1_EGG/old_sheet1.csv,0.0,0.0,Non-binder
1.0,2-6 SiaLac,53.0,3.62,0.094,4.961,112.0741785930256,190.0,0,6,Data/H1N1_EGG/old_sheet1.csv,556.0,0.045201438534484835,Non-binder
