,index,PrintPol,GlycType,DP,Valency,GlycSpace,PolSpace,GlycDen,MVF,SubArr,ExpNum,FileName,MVF_orig,MVF_norm,Experiment
0,0,1.0,2-6 SiaLac,150.0,44.0,0.29,0.431,18.759,6.876699184391492,0,1,Data/H1N1_MDCK/MDCK_sheet2.csv,129.0,0.19734968256584465,Binder
1,1,1.0,2-6 SiaLac,150.0,44.0,0.29,0.422,18.355,7.790792699536911,0,1,Data/H1N1_MDCK/MDCK_sheet2.csv,143.0,0.2235826266298954,Binder
2,2,1.0,2-6 SiaLac,150.0,44.0,0.29,0.427,18.579,7.858334678938586,0,1,Data/H1N1_MDCK/MDCK_sheet2.csv,146.0,0.2255209676620354,Binder
3,3,1.0,2-6 SiaLac,150.0,44.0,0.29,0.434,18.893,7.621870534060234,0,1,Data/H1N1_MDCK/MDCK_sheet2.csv,144.0,0.2187348450356643,Binder
4,4,1.0,2-6 SiaLac,150.0,44.0,0.29,0.437,19.028,6.5692663443346655,0,1,Data/H1N1_MDCK/MDCK_sheet2.csv,125.0,0.18852687793695502,Binder
5,5,1.0,2-6 SiaLac,150.0,44.0,0.29,0.389,16.901,8.342701615289036,0,1,Data/H1N1_MDCK/MDCK_sheet2.csv,141.0,0.23942148280324121,Binder
6,6,1.0,2-6 SiaLac,150.0,60.0,0.4,0.352,21.106,2.700653842509239,0,2,Data/H1N1_MDCK/MDCK_sheet2.csv,57.0,0.07750421593969851,Binder
7,7,1.0,2-6 SiaLac,150.0,60.0,0.4,0.382,22.901,2.969302650539278,0,2,Data/H1N1_MDCK/MDCK_sheet2.csv,68.0,0.08521398418239826,Binder
8,8,1.0,2-6 SiaLac,150.0,60.0,0.4,0.385,23.116,2.5090846167156946,0,2,Data/H1N1_MDCK/MDCK_sheet2.csv,58.0,0.07200650186409206,Binder
9,9,1.0,2-6 SiaLac,150.0,60.0,0.4,0.376,22.542,2.7504214355425427,0,2,Data/H1N1_MDCK/MDCK_sheet2.csv,62.0,0.07893246202460528,Binder
10,10,1.0,2-6 SiaLac,150.0,60.0,0.4,0.354,21.236,3.296289320022603,0,2,Data/H1N1_MDCK/MDCK_sheet2.csv,70.0,0.09459795077675892,Binder
11,11,1.0,2-6 SiaLac,150.0,60.0,0.4,0.344,20.636,3.1498352393874782,0,2,Data/H1N1_MDCK/MDCK_sheet2.csv,65.0,0.09039496536925166,Binder
12,12,1.0,2-6 SiaLac,200.0,78.0,0.39,0.449,35.012,3.7415743173768994,0,3,Data/H1N1_MDCK/MDCK_sheet2.csv,131.0,0.10737688010358819,Binder
13,13,1.0,2-6 SiaLac,200.0,78.0,0.39,0.411,32.021,3.653852159520315,0,3,Data/H1N1_MDCK/MDCK_sheet2.csv,117.0,0.10485940194396738,Binder
14,14,1.0,2-6 SiaLac,200.0,78.0,0.39,0.423,32.961,2.7608385667910564,0,3,Data/H1N1_MDCK/MDCK_sheet2.csv,91.0,0.07923141614343705,Binder
15,15,1.0,2-6 SiaLac,200.0,78.0,0.39,0.461,35.964,3.8927816705594487,0,3,Data/H1N1_MDCK/MDCK_sheet2.csv,140.0,0.11171627642616243,Binder
16,16,1.0,2-6 SiaLac,200.0,78.0,0.39,0.471,36.737,3.5658872526335843,0,3,Data/H1N1_MDCK/MDCK_sheet2.csv,131.0,0.1023349572961001,Binder
17,17,1.0,2-6 SiaLac,200.0,78.0,0.39,0.422,32.906,4.1329848659818875,0,3,Data/H1N1_MDCK/MDCK_sheet2.csv,136.0,0.11860970350459504,Binder
