PrintPol,GlycType,DP,Valency,GlycSpace,PolSpace,GlycDen,MVF,MVF_orig,Status,Experiment,Self-model,Cross-model,MVF_norm
1.0,2-6 SiaLac,150.0,44.0,0.29,0.431,18.759,6.876699184391492,129.0,Conserved,Binder,Binder,Binder,0.19734968256584465
1.0,2-6 SiaLac,150.0,44.0,0.29,0.422,18.355,7.790792699536911,143.0,Conserved,Binder,Binder,Binder,0.2235826266298954
1.0,2-6 SiaLac,150.0,44.0,0.29,0.427,18.579,7.858334678938586,146.0,Conserved,Binder,Binder,Binder,0.2255209676620354
1.0,2-6 SiaLac,150.0,44.0,0.29,0.434,18.893,7.621870534060234,144.0,Conserved,Binder,Binder,Binder,0.2187348450356643
1.0,2-6 SiaLac,150.0,44.0,0.29,0.437,19.028,6.5692663443346655,125.0,Conserved,Binder,Binder,Binder,0.18852687793695502
1.0,2-6 SiaLac,150.0,44.0,0.29,0.389,16.901,8.342701615289036,141.0,Conserved,Binder,Binder,Binder,0.23942148280324121
1.0,2-6 SiaLac,150.0,60.0,0.4,0.352,21.106,2.700653842509239,57.0,Conserved,Binder,Binder,Binder,0.07750421593969851
1.0,2-6 SiaLac,150.0,60.0,0.4,0.382,22.901,2.969302650539278,68.0,Conserved,Binder,Binder,Binder,0.08521398418239826
1.0,2-6 SiaLac,150.0,60.0,0.4,0.385,23.116,2.5090846167156946,58.0,Conserved,Binder,Binder,Binder,0.07200650186409206
1.0,2-6 SiaLac,150.0,60.0,0.4,0.376,22.542,2.7504214355425427,62.0,Conserved,Binder,Binder,Binder,0.07893246202460528
1.0,2-6 SiaLac,150.0,60.0,0.4,0.354,21.236,3.296289320022603,70.0,Conserved,Binder,Binder,Binder,0.09459795077675892
1.0,2-6 SiaLac,150.0,60.0,0.4,0.344,20.636,3.1498352393874782,65.0,Conserved,Binder,Binder,Binder,0.09039496536925166
1.0,2-6 SiaLac,200.0,78.0,0.39,0.449,35.012,3.7415743173768994,131.0,Conserved,Binder,Binder,Binder,0.10737688010358819
1.0,2-6 SiaLac,200.0,78.0,0.39,0.411,32.021,3.653852159520315,117.0,Conserved,Binder,Binder,Binder,0.10485940194396738
1.0,2-6 SiaLac,200.0,78.0,0.39,0.423,32.961,2.7608385667910564,91.0,Conserved,Binder,Binder,Binder,0.07923141614343705
1.0,2-6 SiaLac,200.0,78.0,0.39,0.461,35.964,3.8927816705594487,140.0,Conserved,Binder,Binder,Binder,0.11171627642616243
1.0,2-6 SiaLac,200.0,78.0,0.39,0.471,36.737,3.5658872526335843,131.0,Conserved,Binder,Binder,Binder,0.1023349572961001
1.0,2-6 SiaLac,200.0,78.0,0.39,0.422,32.906,4.1329848659818875,136.0,Conserved,Binder,Binder,Binder,0.11860970350459504
1.0,2-6 SiaLac,200.0,98.0,0.49,0.418,40.975,3.6363636363636362,149.0,Conserved,Binder,Binder,Binder,0.10435751078936377
1.0,2-6 SiaLac,200.0,98.0,0.49,0.39,38.193,3.9012384468358077,149.0,Conserved,Binder,Binder,Binder,0.11195897165957586
1.0,2-6 SiaLac,200.0,98.0,0.49,0.434,42.495,3.8592775620661257,164.0,Conserved,Binder,Binder,Binder,0.11075476495117793
1.0,2-6 SiaLac,200.0,98.0,0.49,0.429,42.021,4.378762999452655,184.0,Conserved,Binder,Binder,Binder,0.125663121913848
1.0,2-6 SiaLac,200.0,98.0,0.49,0.418,40.996,4.439457508049566,182.0,Conserved,Binder,Binder,Binder,0.12740495206868127
1.0,2-6 SiaLac,200.0,98.0,0.49,0.394,38.564,4.563841925111503,176.0,Conserved,Binder,Binder,Binder,0.13097457530871295
1.0,2-6 SiaLac,300.0,105.0,0.35,0.469,49.297,3.93533075034992,194.0,Conserved,Binder,Binder,Binder,0.11293736334082312
1.0,2-6 SiaLac,300.0,105.0,0.35,0.471,49.455,4.751794560711758,235.0,Conserved,Binder,Binder,Binder,0.13636849933803727
