PrintPol,GlycType,DP,Valency,GlycSpace,PolSpace,GlycDen,MVF,MVF_orig,Status
1.0,2-6 SiaLac,150.0,44.0,0.29,0.431,18.759,6.876699,129.0,True binder
1.0,2-6 SiaLac,150.0,44.0,0.29,0.422,18.355,7.790793,143.0,True binder
1.0,2-6 SiaLac,150.0,44.0,0.29,0.427,18.579,7.858335,146.0,True binder
1.0,2-6 SiaLac,150.0,44.0,0.29,0.434,18.893,7.621871,144.0,True binder
1.0,2-6 SiaLac,150.0,44.0,0.29,0.437,19.028,6.569266,125.0,True binder
1.0,2-6 SiaLac,150.0,44.0,0.29,0.389,16.901,8.342702,141.0,True binder
1.0,2-6 SiaLac,150.0,60.0,0.4,0.352,21.106,2.700654,57.0,True binder
1.0,2-6 SiaLac,150.0,60.0,0.4,0.382,22.901,2.969303,68.0,True binder
1.0,2-6 SiaLac,150.0,60.0,0.4,0.385,23.116,2.509085,58.0,True binder
1.0,2-6 SiaLac,150.0,60.0,0.4,0.376,22.542,2.750421,62.0,True binder
1.0,2-6 SiaLac,150.0,60.0,0.4,0.354,21.236,3.296289,70.0,True binder
1.0,2-6 SiaLac,150.0,60.0,0.4,0.344,20.636,3.149835,65.0,True binder
1.0,2-6 SiaLac,200.0,78.0,0.39,0.449,35.012,3.741574,131.0,True binder
1.0,2-6 SiaLac,200.0,78.0,0.39,0.411,32.021,3.653852,117.0,True binder
1.0,2-6 SiaLac,200.0,78.0,0.39,0.423,32.961,2.760839,91.0,True binder
1.0,2-6 SiaLac,200.0,78.0,0.39,0.461,35.964,3.892782,140.0,True binder
1.0,2-6 SiaLac,200.0,78.0,0.39,0.471,36.737,3.565887,131.0,True binder
1.0,2-6 SiaLac,200.0,78.0,0.39,0.422,32.906,4.132985,136.0,True binder
1.0,2-6 SiaLac,200.0,98.0,0.49,0.418,40.975,3.636364,149.0,True binder
1.0,2-6 SiaLac,200.0,98.0,0.49,0.39,38.193,3.901238,149.0,True binder
1.0,2-6 SiaLac,200.0,98.0,0.49,0.434,42.495,3.859278,164.0,True binder
1.0,2-6 SiaLac,200.0,98.0,0.49,0.429,42.021,4.378763,184.0,True binder
1.0,2-6 SiaLac,200.0,98.0,0.49,0.418,40.996,4.439458,182.0,True binder
1.0,2-6 SiaLac,200.0,98.0,0.49,0.394,38.564,4.563842,176.0,True binder
1.0,2-6 SiaLac,300.0,105.0,0.35,0.469,49.297,3.935331,194.0,True binder
1.0,2-6 SiaLac,300.0,105.0,0.35,0.471,49.455,4.751795,235.0,True binder
1.0,2-6 SiaLac,300.0,105.0,0.35,0.469,49.218,4.510545,222.0,True binder
1.0,2-6 SiaLac,300.0,105.0,0.35,0.465,48.823,4.772341,233.0,True binder
1.0,2-6 SiaLac,300.0,105.0,0.35,0.474,49.771,4.641257,231.0,True binder
1.0,2-6 SiaLac,300.0,105.0,0.35,0.457,48.033,4.954927,238.0,True binder
1.0,2-6 SiaLac,300.0,141.0,0.47,0.354,49.861,4.713102,235.0,True binder
1.0,2-6 SiaLac,300.0,141.0,0.47,0.328,46.265,5.446882,252.0,True binder
1.0,2-6 SiaLac,300.0,141.0,0.47,0.325,45.772,5.177838,237.0,True binder
1.0,2-6 SiaLac,300.0,141.0,0.47,0.348,49.119,5.150756,253.0,True binder
1.0,2-6 SiaLac,300.0,141.0,0.47,0.404,56.969,4.353245,248.0,True binder
1.0,2-6 SiaLac,300.0,141.0,0.47,0.327,46.166,5.111987,236.0,True binder
5.0,2-6 SiaLac,150.0,44.0,0.29,1.801,78.355,3.343756,262.0,True binder
5.0,2-6 SiaLac,150.0,44.0,0.29,1.787,77.727,3.306444,257.0,True binder
5.0,2-6 SiaLac,150.0,44.0,0.29,1.643,71.455,4.310405,308.0,True binder
5.0,2-6 SiaLac,150.0,44.0,0.29,1.719,74.765,3.811944,285.0,True binder
5.0,2-6 SiaLac,150.0,44.0,0.29,1.599,69.572,3.607773,251.0,True binder
5.0,2-6 SiaLac,150.0,44.0,0.29,1.613,70.158,3.591893,252.0,True binder
5.0,2-6 SiaLac,150.0,60.0,0.4,1.664,99.858,1.672375,167.0,True binder
5.0,2-6 SiaLac,150.0,60.0,0.4,1.651,99.068,1.63524,162.0,True binder
5.0,2-6 SiaLac,150.0,60.0,0.4,1.634,98.063,1.947727,191.0,True binder
5.0,2-6 SiaLac,150.0,60.0,0.4,1.618,97.058,1.854561,180.0,True binder
5.0,2-6 SiaLac,150.0,60.0,0.4,1.649,98.924,2.729368,270.0,True binder
5.0,2-6 SiaLac,150.0,60.0,0.4,1.358,81.459,3.093581,252.0,True binder
5.0,2-6 SiaLac,200.0,78.0,0.39,1.947,151.847,1.580538,240.0,True binder
5.0,2-6 SiaLac,200.0,78.0,0.39,1.929,150.427,1.70847,257.0,True binder
5.0,2-6 SiaLac,200.0,78.0,0.39,2.058,160.527,1.91868,308.0,True binder
5.0,2-6 SiaLac,200.0,78.0,0.39,1.921,149.874,2.241883,336.0,True binder
5.0,2-6 SiaLac,200.0,78.0,0.39,2.084,162.569,1.820765,296.0,True binder
5.0,2-6 SiaLac,200.0,78.0,0.39,1.977,154.169,2.017267,311.0,True binder
5.0,2-6 SiaLac,200.0,98.0,0.49,2.07,202.909,1.61156,327.0,True binder
5.0,2-6 SiaLac,200.0,98.0,0.49,2.097,205.549,1.746542,359.0,True binder
5.0,2-6 SiaLac,200.0,98.0,0.49,2.164,212.05,1.480783,314.0,True binder
5.0,2-6 SiaLac,200.0,98.0,0.49,2.126,208.389,1.751532,365.0,True binder
5.0,2-6 SiaLac,200.0,98.0,0.49,2.234,218.95,1.694451,371.0,True binder
5.0,2-6 SiaLac,200.0,98.0,0.49,2.191,214.74,1.899972,408.0,True binder
5.0,2-6 SiaLac,300.0,105.0,0.35,2.188,229.737,1.823825,419.0,True binder
5.0,2-6 SiaLac,300.0,105.0,0.35,2.471,259.421,1.657537,430.0,True binder
5.0,2-6 SiaLac,300.0,105.0,0.35,2.312,242.772,1.655875,402.0,True binder
5.0,2-6 SiaLac,300.0,105.0,0.35,2.259,237.163,1.60649,381.0,True binder
5.0,2-6 SiaLac,300.0,105.0,0.35,2.289,240.323,1.593688,383.0,True binder
5.0,2-6 SiaLac,300.0,105.0,0.35,2.046,214.796,1.773776,381.0,True binder
5.0,2-6 SiaLac,300.0,141.0,0.47,1.953,275.404,1.521401,419.0,True binder
5.0,2-6 SiaLac,300.0,141.0,0.47,1.989,280.391,1.405181,394.0,True binder
5.0,2-6 SiaLac,300.0,141.0,0.47,1.992,280.815,1.253494,352.0,True binder
5.0,2-6 SiaLac,300.0,141.0,0.47,2.111,297.683,1.216059,362.0,True binder
5.0,2-6 SiaLac,300.0,141.0,0.47,1.868,263.384,1.154208,304.0,True binder
10.0,2-6 SiaLac,150.0,44.0,0.29,3.838,168.859,1.385772,234.0,True binder
10.0,2-6 SiaLac,150.0,44.0,0.29,3.78,166.319,1.364847,227.0,True binder
10.0,2-6 SiaLac,150.0,44.0,0.29,4.234,186.287,1.71778,320.0,True binder
10.0,2-6 SiaLac,150.0,44.0,0.29,3.733,164.231,2.210301,363.0,True binder
10.0,2-6 SiaLac,150.0,44.0,0.29,4.125,181.503,2.071591,376.0,True binder
10.0,2-6 SiaLac,150.0,44.0,0.29,3.676,161.734,2.380452,385.0,True binder
10.0,2-6 SiaLac,150.0,60.0,0.4,2.655,159.3,1.607031,256.0,True binder
10.0,2-6 SiaLac,150.0,60.0,0.4,2.894,173.656,1.710278,297.0,True binder
10.0,2-6 SiaLac,150.0,60.0,0.4,2.821,169.286,1.736706,294.0,True binder
10.0,2-6 SiaLac,150.0,60.0,0.4,2.789,167.355,1.577485,264.0,True binder
10.0,2-6 SiaLac,150.0,60.0,0.4,3.242,194.547,2.498111,486.0,True binder
10.0,2-6 SiaLac,150.0,60.0,0.4,2.945,176.675,3.186642,563.0,True binder
10.0,2-6 SiaLac,200.0,78.0,0.39,4.063,316.891,1.565207,496.0,False non-binder
10.0,2-6 SiaLac,200.0,78.0,0.39,3.829,298.679,1.432977,428.0,True binder
10.0,2-6 SiaLac,200.0,78.0,0.39,4.168,325.119,0.950421,309.0,True non-binder
10.0,2-6 SiaLac,200.0,78.0,0.39,3.79,295.656,0.700138,207.0,False binder
10.0,2-6 SiaLac,200.0,78.0,0.39,3.831,298.845,0.609011,182.0,False binder
10.0,2-6 SiaLac,200.0,78.0,0.39,2.369,184.803,2.202345,407.0,True binder
10.0,2-6 SiaLac,200.0,98.0,0.49,3.871,379.364,1.389167,527.0,False non-binder
10.0,2-6 SiaLac,200.0,98.0,0.49,3.773,369.799,1.663066,615.0,False non-binder
10.0,2-6 SiaLac,200.0,98.0,0.49,3.763,368.728,1.429238,527.0,False non-binder
10.0,2-6 SiaLac,200.0,98.0,0.49,1.556,152.473,2.33484,356.0,True binder
10.0,2-6 SiaLac,200.0,98.0,0.49,2.128,208.542,1.21798,254.0,True binder
10.0,2-6 SiaLac,200.0,98.0,0.49,3.321,325.436,1.702332,554.0,False non-binder
10.0,2-6 SiaLac,300.0,105.0,0.35,5.169,542.696,0.751802,408.0,True non-binder
10.0,2-6 SiaLac,300.0,105.0,0.35,4.835,507.665,1.067633,542.0,False non-binder
10.0,2-6 SiaLac,300.0,105.0,0.35,4.83,507.112,1.080629,548.0,False non-binder
10.0,2-6 SiaLac,300.0,105.0,0.35,4.83,507.191,0.806402,409.0,True non-binder
10.0,2-6 SiaLac,300.0,105.0,0.35,4.712,494.788,0.503246,249.0,True non-binder
10.0,2-6 SiaLac,300.0,141.0,0.47,4.29,604.914,0.737295,446.0,True non-binder
10.0,2-6 SiaLac,300.0,141.0,0.47,4.671,658.633,0.932234,614.0,True non-binder
10.0,2-6 SiaLac,300.0,141.0,0.47,4.31,607.672,1.010414,614.0,True non-binder
10.0,2-6 SiaLac,300.0,141.0,0.47,4.304,606.929,0.634341,385.0,True non-binder
10.0,2-6 SiaLac,300.0,141.0,0.47,4.409,621.676,0.275063,171.0,True non-binder
10.0,2-6 SiaLac,300.0,141.0,0.47,4.484,632.178,0.49195,311.0,True non-binder
1.0,2-3 SiaLac,150.0,51.0,0.34,0.759,38.693,16.385393,634.0,True binder
1.0,2-3 SiaLac,150.0,51.0,0.34,0.742,37.841,17.045004,645.0,True binder
1.0,2-3 SiaLac,150.0,51.0,0.34,0.677,34.544,17.687587,611.0,True binder
1.0,2-3 SiaLac,150.0,51.0,0.34,0.671,34.232,19.922879,682.0,True binder
1.0,2-3 SiaLac,150.0,51.0,0.34,0.868,44.243,15.121036,669.0,True binder
1.0,2-3 SiaLac,150.0,51.0,0.34,0.661,33.73,21.553513,727.0,True binder
1.0,2-3 SiaLac,150.0,87.0,0.58,0.322,28.001,22.034927,617.0,True binder
1.0,2-3 SiaLac,150.0,87.0,0.58,0.319,27.793,20.076998,558.0,True binder
1.0,2-3 SiaLac,150.0,87.0,0.58,0.305,26.544,22.001206,584.0,True binder
1.0,2-3 SiaLac,150.0,87.0,0.58,0.306,26.641,21.13284,563.0,True binder
1.0,2-3 SiaLac,150.0,87.0,0.58,0.298,25.965,21.837088,567.0,True binder
1.0,2-3 SiaLac,150.0,87.0,0.58,0.307,26.738,22.851373,611.0,True binder
1.0,2-3 SiaLac,200.0,74.0,0.37,0.499,36.902,32.735353,1208.0,True binder
1.0,2-3 SiaLac,200.0,74.0,0.37,0.495,36.623,32.766294,1200.0,True binder
1.0,2-3 SiaLac,200.0,74.0,0.37,0.506,37.48,34.845251,1306.0,True binder
1.0,2-3 SiaLac,200.0,74.0,0.37,0.502,37.182,31.35926,1166.0,True binder
1.0,2-3 SiaLac,200.0,74.0,0.37,0.512,37.864,30.715191,1163.0,True binder
1.0,2-3 SiaLac,200.0,74.0,0.37,0.533,39.438,30.605,1207.0,True binder
1.0,2-3 SiaLac,200.0,104.0,0.52,0.499,51.882,25.808566,1339.0,True binder
1.0,2-3 SiaLac,200.0,104.0,0.52,0.454,47.185,30.348628,1432.0,True binder
1.0,2-3 SiaLac,200.0,104.0,0.52,0.467,48.533,26.188367,1271.0,True binder
1.0,2-3 SiaLac,200.0,104.0,0.52,0.459,47.766,26.127371,1248.0,True binder
1.0,2-3 SiaLac,200.0,104.0,0.52,0.463,48.189,23.698354,1142.0,True binder
1.0,2-3 SiaLac,200.0,104.0,0.52,0.454,47.185,24.541698,1158.0,True binder
1.0,2-3 SiaLac,300.0,108.0,0.36,0.461,49.793,28.29715,1409.0,True binder
1.0,2-3 SiaLac,300.0,108.0,0.36,0.514,55.5,30.702703,1704.0,True binder
1.0,2-3 SiaLac,300.0,108.0,0.36,0.476,51.455,25.459139,1310.0,True binder
1.0,2-3 SiaLac,300.0,108.0,0.36,0.479,51.682,32.506482,1680.0,True binder
1.0,2-3 SiaLac,300.0,108.0,0.36,0.477,51.531,22.821214,1176.0,True binder
1.0,2-3 SiaLac,300.0,108.0,0.36,0.509,55.012,21.286265,1171.0,True binder
1.0,2-3 SiaLac,300.0,138.0,0.46,0.634,87.426,13.874591,1213.0,True binder
1.0,2-3 SiaLac,300.0,138.0,0.46,0.624,86.076,20.098518,1730.0,True binder
1.0,2-3 SiaLac,300.0,138.0,0.46,0.638,88.049,13.537916,1192.0,True binder
1.0,2-3 SiaLac,300.0,138.0,0.46,0.645,88.983,11.552769,1028.0,True binder
1.0,2-3 SiaLac,300.0,138.0,0.46,0.603,83.223,11.6314,968.0,True binder
1.0,2-3 SiaLac,300.0,138.0,0.46,0.646,89.191,9.53011,850.0,True binder
5.0,2-3 SiaLac,150.0,51.0,0.34,2.099,107.057,10.72326,1148.0,True binder
5.0,2-3 SiaLac,150.0,51.0,0.34,2.086,106.378,11.75055,1250.0,True binder
5.0,2-3 SiaLac,150.0,51.0,0.34,2.117,107.962,11.077972,1196.0,True binder
5.0,2-3 SiaLac,150.0,51.0,0.34,1.996,101.809,10.932236,1113.0,True binder
5.0,2-3 SiaLac,150.0,51.0,0.34,2.011,102.545,10.317422,1058.0,True binder
5.0,2-3 SiaLac,150.0,51.0,0.34,2.041,104.071,10.079657,1049.0,True binder
5.0,2-3 SiaLac,150.0,87.0,0.58,1.798,156.452,7.599775,1189.0,True binder
5.0,2-3 SiaLac,150.0,87.0,0.58,1.455,126.545,10.1861,1289.0,True binder
5.0,2-3 SiaLac,150.0,87.0,0.58,1.895,164.828,7.268183,1198.0,True binder
5.0,2-3 SiaLac,150.0,87.0,0.58,1.724,149.998,7.820104,1173.0,True binder
5.0,2-3 SiaLac,150.0,87.0,0.58,1.655,144.016,7.42973,1070.0,True binder
5.0,2-3 SiaLac,150.0,87.0,0.58,1.743,151.664,6.29022,954.0,True binder
5.0,2-3 SiaLac,200.0,74.0,0.37,2.213,163.787,6.813728,1116.0,True binder
5.0,2-3 SiaLac,200.0,74.0,0.37,2.046,151.423,7.521975,1139.0,True binder
5.0,2-3 SiaLac,200.0,74.0,0.37,2.051,151.755,7.083786,1075.0,True binder
5.0,2-3 SiaLac,200.0,74.0,0.37,2.055,152.052,6.951569,1057.0,True binder
5.0,2-3 SiaLac,200.0,74.0,0.37,2.26,167.211,6.100077,1020.0,True binder
5.0,2-3 SiaLac,200.0,74.0,0.37,2.133,157.876,5.637336,890.0,True binder
5.0,2-3 SiaLac,200.0,104.0,0.52,1.998,207.745,4.832848,1004.0,True binder
5.0,2-3 SiaLac,200.0,104.0,0.52,2.027,210.838,4.657604,982.0,True binder
5.0,2-3 SiaLac,200.0,104.0,0.52,2.052,213.376,4.531906,967.0,True binder
