PrintPol,GlycType,Valency,GlycSpace,PolSpace,GlycDen,MVF,DP,MVF_orig,Status
1.0,2-6 SiaLac,105.0,1.81,0.032,3.341,400.478899,190.0,1338.0,True binder
1.0,2-6 SiaLac,105.0,1.81,0.027,2.854,357.743518,190.0,1021.0,True binder
1.0,2-6 SiaLac,105.0,1.81,0.032,3.341,378.329841,190.0,1264.0,True binder
1.0,2-6 SiaLac,105.0,1.81,0.025,2.654,1094.574228,190.0,2905.0,True binder
1.0,2-6 SiaLac,105.0,1.81,0.012,1.295,1799.227799,190.0,2330.0,True binder
1.0,2-6 SiaLac,105.0,1.81,0.013,1.331,681.442524,190.0,907.0,True binder
1.0,2-6 SiaLac,88.0,2.17,0.02,1.736,755.760369,190.0,1312.0,True binder
1.0,2-6 SiaLac,88.0,2.17,0.02,1.753,704.50656,190.0,1235.0,True binder
1.0,2-6 SiaLac,88.0,2.17,0.02,1.736,717.165899,190.0,1245.0,True binder
1.0,2-6 SiaLac,88.0,2.17,0.02,1.769,749.576032,190.0,1326.0,True binder
1.0,2-6 SiaLac,88.0,2.17,0.02,1.769,561.334087,190.0,993.0,True binder
1.0,2-6 SiaLac,79.0,2.42,0.018,1.451,1257.064094,190.0,1824.0,True binder
1.0,2-6 SiaLac,79.0,2.42,0.038,2.978,316.319678,190.0,942.0,True binder
1.0,2-6 SiaLac,79.0,2.42,0.02,1.587,427.221172,190.0,678.0,True binder
1.0,2-6 SiaLac,79.0,2.42,0.019,1.513,268.341044,190.0,406.0,True binder
1.0,2-6 SiaLac,71.0,2.69,0.018,1.276,630.094044,190.0,804.0,True binder
1.0,2-6 SiaLac,71.0,2.69,0.02,1.384,361.271676,190.0,500.0,True binder
1.0,2-6 SiaLac,71.0,2.69,0.017,1.2,1560.0,190.0,1872.0,True binder
1.0,2-6 SiaLac,71.0,2.69,0.018,1.287,421.911422,190.0,543.0,True binder
1.0,2-6 SiaLac,71.0,2.69,0.022,1.547,207.498384,190.0,321.0,True binder
1.0,2-6 SiaLac,71.0,2.69,0.033,2.36,117.372881,190.0,277.0,False binder
1.0,2-6 SiaLac,61.0,3.11,0.031,1.927,768.552154,190.0,1481.0,True binder
1.0,2-6 SiaLac,61.0,3.11,0.033,2.033,356.615839,190.0,725.0,True binder
1.0,2-6 SiaLac,61.0,3.11,0.029,1.763,238.797504,190.0,421.0,True binder
