PrintPol,GlycType,Valency,GlycSpace,PolSpace,GlycDen,MVF,DP,Status,Experiment,Self-model,Cross-model
1.0,2-6 SiaLac,105.0,1.81,0.032,3.341,400.47889853337324,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,105.0,1.81,0.027,2.854,357.7435178696566,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,105.0,1.81,0.032,3.341,378.3298413648608,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,105.0,1.81,0.025,2.654,1094.5742275810098,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,105.0,1.81,0.012,1.295,1799.2277992277993,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,105.0,1.81,0.013,1.331,681.4425244177311,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,88.0,2.17,0.02,1.736,755.7603686635945,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,88.0,2.17,0.02,1.753,704.5065601825443,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,88.0,2.17,0.02,1.736,717.1658986175115,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,88.0,2.17,0.02,1.769,749.576031656303,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,88.0,2.17,0.02,1.769,561.3340870548333,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,79.0,2.42,0.018,1.451,1257.0640937284631,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,79.0,2.42,0.038,2.978,316.31967763599727,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,79.0,2.42,0.02,1.587,427.2211720226843,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,79.0,2.42,0.019,1.513,268.3410442828817,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,71.0,2.69,0.018,1.276,630.0940438871473,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,71.0,2.69,0.02,1.384,361.27167630057806,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,71.0,2.69,0.017,1.2,1560.0,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,71.0,2.69,0.018,1.287,421.91142191142194,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,71.0,2.69,0.022,1.547,207.4983839689722,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,71.0,2.69,0.033,2.36,117.37288135593221,190.0,Others,Non-binder,Binder,Binder
1.0,2-6 SiaLac,61.0,3.11,0.031,1.927,768.5521536066424,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,61.0,3.11,0.033,2.033,356.61583866207576,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,61.0,3.11,0.029,1.763,238.7975042541123,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,61.0,3.11,0.036,2.228,338.4201077199282,190.0,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,61.0,3.11,0.028,1.721,-85.41545613015688,190.0,Others,Non-binder,Binder,Binder
1.0,2-6 SiaLac,53.0,3.62,0.094,4.961,112.0741785930256,190.0,Others,Non-binder,Binder,Binder
