PrintPol,GlycType,DP,Valency,GlycSpace,PolSpace,GlycDen,MVF,Status,Experiment,Self-model,Cross-model
1.0,2-6 SiaLac,150.0,44.0,0.29,0.431,18.759,6.876699184391492,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,150.0,44.0,0.29,0.422,18.355,7.790792699536911,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,150.0,44.0,0.29,0.427,18.579,7.858334678938586,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,150.0,44.0,0.29,0.434,18.893,7.621870534060234,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,150.0,44.0,0.29,0.437,19.028,6.5692663443346655,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,150.0,44.0,0.29,0.389,16.901,8.342701615289036,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,150.0,60.0,0.4,0.352,21.106,2.700653842509239,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,150.0,60.0,0.4,0.382,22.901,2.969302650539278,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,150.0,60.0,0.4,0.385,23.116,2.5090846167156946,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,150.0,60.0,0.4,0.376,22.542,2.7504214355425427,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,150.0,60.0,0.4,0.354,21.236,3.296289320022603,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,150.0,60.0,0.4,0.344,20.636,3.1498352393874782,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,200.0,78.0,0.39,0.449,35.012,3.7415743173768994,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,200.0,78.0,0.39,0.411,32.021,3.653852159520315,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,200.0,78.0,0.39,0.423,32.961,2.7608385667910564,Conserved,Binder,Binder,Binder
1.0,2-6 SiaLac,200.0,78.0,0.39,0.461,35.964,3.8927816705594487,Conserved,Binder,Binder,Binder
